ID	Estado	link	w_gen	w_out	t_gen	t_recv	t_diff	Medicion
zrh5qtgwp	swapped	node_rectorado_upm-node_cedint_upm	1	0.87878	33:53.545	33:54.191	0.64600	1
zrh5qtgwp_twm46h1ld	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
twm46h1ld	swapped	node_etsiinf_upm-node_cedint_upm	1	0.90864	33:54.248	33:54.727	0.47900	0
coa21lvp6	active	node_rectorado_upm-node_etsiinf_upm	0.8787777125715442	0.79850	33:53.545	33:55.887	2.34200	""
n1uh8pg5n	swapped	node_etsiinf_upm-node_cedint_upm	1	0.87985	33:57.385	33:58.024	0.63900	0
tgu54os4n	swapped	node_rectorado_upm-node_cedint_upm	1	0.98057	33:57.344	33:57.442	0.09800	0
tgu54os4n_n1uh8pg5n	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
1ocjvb9kg	active	node_rectorado_upm-node_etsiinf_upm	0.9805679837022443	0.86276	33:57.344	33:59.146	1.80200	""
f6c1nbrcj	swapped	node_etsiinf_upm-node_cedint_upm	1	0.83929	34:01.379	34:02.255	0.87600	1
5fg3cgetu	swapped	node_rectorado_upm-node_cedint_upm	1	0.97978	34:01.370	34:01.472	0.10200	1
5fg3cgetu_f6c1nbrcj	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
uj3o3rdfl	active	node_rectorado_upm-node_etsiinf_upm	0.9797838430133529	0.82232	34:01.370	34:03.398	2.02800	""
1j8ow3rcx_g1ruvhrxl	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
g1ruvhrxl	swapped	node_etsiinf_upm-node_cedint_upm	1	0.77259	34:05.295	34:06.585	1.29000	0
1j8ow3rcx	swapped	node_rectorado_upm-node_cedint_upm	1	0.97783	34:05.283	34:05.395	0.11200	0
fnyx6tnez	active	node_rectorado_upm-node_etsiinf_upm	0.9778262335892884	0.75546	34:05.283	34:06.693	1.41000	""
1sjgax80m	swapped	node_etsiinf_upm-node_cedint_upm	1	0.83795	34:08.856	34:09.740	0.88400	1
p7wonfdw5	swapped	node_rectorado_upm-node_cedint_upm	1	0.98018	34:08.846	34:08.946	0.10000	0
p7wonfdw5_1sjgax80m	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
w9k15fgd4	active	node_rectorado_upm-node_etsiinf_upm	0.980175834943753	0.82133	34:08.846	34:10.861	2.01500	""
h62cih7cq	swapped	node_etsiinf_upm-node_cedint_upm	1	0.86693	34:39.062	34:39.776	0.71400	1
bnjete0qx	swapped	node_rectorado_upm-node_cedint_upm	1	0.93611	34:38.386	34:38.716	0.33000	1
bnjete0qx_h62cih7cq	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
wj1v4dwll	active	node_rectorado_upm-node_etsiinf_upm	0.9361090526966005	0.81154	34:38.386	34:40.868	2.48200	""
g2mgl7cw0	swapped	node_etsiinf_upm-node_cedint_upm	1	1.34393	34:42.241	34:40.762	-1.47900	1
eolduore0	swapped	node_rectorado_upm-node_cedint_upm	1	0.96077	34:41.701	34:41.901	0.20000	1
eolduore0_g2mgl7cw0	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
ne605zlqu	active	node_rectorado_upm-node_etsiinf_upm	0.9607670530192254	1.29120	34:41.701	34:41.908	0.20700	""
ekkjpxh2s_zk0fvluhn	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
zk0fvluhn	swapped	node_etsiinf_upm-node_cedint_upm	1	0.77771	34:43.861	34:45.118	1.25700	1
ekkjpxh2s	swapped	node_rectorado_upm-node_cedint_upm	1	0.98037	34:43.857	34:43.956	0.09900	0
5o4oita5c	active	node_rectorado_upm-node_etsiinf_upm	0.9803718897155163	0.76245	34:43.857	34:45.216	1.35900	""
2duy1obwr	swapped	node_etsiinf_upm-node_cedint_upm	1	0.85385	34:47.560	34:48.349	0.78900	0
k6u2wny0o	swapped	node_rectorado_upm-node_cedint_upm	1	0.98076	34:47.555	34:47.651	0.09600	1
k6u2wny0o_2duy1obwr	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
saqozo5ec	active	node_rectorado_upm-node_etsiinf_upm	0.9807641169116027	0.83742	34:47.555	34:49.468	1.91300	""
eo56ubh84	swapped	node_etsiinf_upm-node_cedint_upm	1	0.74141	34:51.085	34:52.581	1.49600	0
kd8eufvxa	swapped	node_rectorado_upm-node_cedint_upm	1	0.98096	34:51.075	34:51.171	0.09600	1
kd8eufvxa_eo56ubh84	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
bcvym48uz	active	node_rectorado_upm-node_etsiinf_upm	0.9809602893516151	0.72729	34:51.075	34:52.686	1.61100	""
c5whon3m0	swapped	node_rectorado_upm-node_cedint_upm	1	0.93312	35:19.141	35:19.487	0.34600	1
c5whon3m0_dseay0tv2	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
dseay0tv2	swapped	node_etsiinf_upm-node_cedint_upm	1	0.91558	35:19.834	35:20.275	0.44100	1
wq0sx5s8l	active	node_rectorado_upm-node_etsiinf_upm	0.9331182914979906	0.85434	35:19.141	35:21.409	2.26800	""
1eg6dn4ll	swapped	node_etsiinf_upm-node_cedint_upm	1	0.74722	35:23.126	35:24.583	1.45700	0
stcf66gre	swapped	node_rectorado_upm-node_cedint_upm	1	0.98175	35:23.125	35:23.216	0.09100	0
stcf66gre_1eg6dn4ll	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
dw2rwos83	active	node_rectorado_upm-node_etsiinf_upm	0.9817453715740957	0.73358	35:23.125	35:24.676	1.55100	""
2ey0ksvq1	swapped	node_etsiinf_upm-node_cedint_upm	1	0.75503	35:27.536	35:28.941	1.40500	1
0gljjl0ab	swapped	node_rectorado_upm-node_cedint_upm	1	0.98076	35:27.525	35:27.622	0.09700	1
0gljjl0ab_2ey0ksvq1	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
iawouv5bh	active	node_rectorado_upm-node_etsiinf_upm	0.9807641169116919	0.74050	35:27.525	35:29.037	1.51200	""
s2t8hg2aa	swapped	node_etsiinf_upm-node_cedint_upm	1	0.88056	36:03.766	36:04.401	0.63500	0
u77v00a9r	swapped	node_rectorado_upm-node_cedint_upm	1	0.93499	36:03.072	36:03.408	0.33600	1
u77v00a9r_s2t8hg2aa	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
e5f8bvyr3	active	node_rectorado_upm-node_etsiinf_upm	0.9349863955623905	0.82331	36:03.072	36:05.568	2.49600	""
lsw2rwtjx	swapped	node_etsiinf_upm-node_cedint_upm	1	0.81237	36:07.725	36:08.764	1.03900	0
lyqiahc4i	swapped	node_rectorado_upm-node_cedint_upm	1	0.97978	36:07.716	36:07.817	0.10100	0
lyqiahc4i_lsw2rwtjx	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
7yow44oc6	active	node_rectorado_upm-node_etsiinf_upm	0.9797838430133083	0.79595	36:07.716	36:09.915	2.19900	""
0v1i6xagu	swapped	node_etsiinf_upm-node_cedint_upm	1	0.92090	36:59.706	37:00.118	0.41200	1
5xigr2c3i	swapped	node_rectorado_upm-node_cedint_upm	1	0.95751	36:59.627	36:59.844	0.21700	1
5xigr2c3i_0v1i6xagu	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
og5m1t7dy	active	node_rectorado_upm-node_etsiinf_upm	0.9575059919841541	0.88177	36:59.627	37:01.249	1.62200	""
q4rn5t2dl_fotxxdlh7	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
fotxxdlh7	swapped	node_etsiinf_upm-node_cedint_upm	1	0.77896	37:03.159	37:04.408	1.24900	0
q4rn5t2dl	swapped	node_rectorado_upm-node_cedint_upm	1	0.98018	37:03.149	37:03.248	0.09900	0
em030enc2	active	node_rectorado_upm-node_etsiinf_upm	0.980175834943753	0.76351	37:03.149	37:04.502	1.35300	""
3ubexqd6d	swapped	node_etsiinf_upm-node_cedint_upm	1	0.85624	37:19.609	37:20.385	0.77600	1
2m498y0b4	swapped	node_rectorado_upm-node_cedint_upm	1	0.98076	37:19.605	37:19.702	0.09700	0
2m498y0b4_3ubexqd6d	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
xqvosz28q	active	node_rectorado_upm-node_etsiinf_upm	0.9807641169116027	0.83977	37:19.605	37:21.512	1.90700	""
xx0widdb3	swapped	node_etsiinf_upm-node_cedint_upm	1	0.84840	37:24.905	37:25.727	0.82200	1
lslejt891	swapped	node_rectorado_upm-node_cedint_upm	1	0.98076	37:24.899	37:24.996	0.09700	0
