ID	Estado	link	w_gen	w_out	t_gen	t_recv	t_diff	Medicion
nm62t4uyc	swapped	node_etsiinf_upm-node_cedint_upm	1	0.88061	27:49.500	27:50.390	0.89000	0
05q770uj6	swapped	node_rectorado_upm-node_cedint_upm	1	0.98608	27:49.494	27:49.592	0.09800	1
05q770uj6_nm62t4uyc	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
zffm7l0co	active	node_rectorado_upm-node_etsiinf_upm	0.9860811329188441	0.86835	27:49.494	27:51.511	2.01700	""
epu2bdtuq_h13drcrlk	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
h13drcrlk	swapped	node_etsiinf_upm-node_cedint_upm	1	0.85202	27:54.671	27:55.792	1.12100	1
epu2bdtuq	swapped	node_rectorado_upm-node_cedint_upm	1	0.98608	27:54.670	27:54.767	0.09700	0
d430x2pu6	active	node_rectorado_upm-node_etsiinf_upm	0.9860811329188762	0.84016	27:54.670	27:55.891	1.22100	""
duvvgz9jn	swapped	node_etsiinf_upm-node_cedint_upm	1	0.91589	28:00.584	28:01.199	0.61500	0
2f5u1rj14	swapped	node_rectorado_upm-node_cedint_upm	1	0.98566	28:00.578	28:00.679	0.10100	1
2f5u1rj14_duvvgz9jn	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
3vts9r7gi	active	node_rectorado_upm-node_etsiinf_upm	0.9856586172645676	0.90276	28:00.578	28:02.326	1.74800	""
yundza4ji	swapped	node_etsiinf_upm-node_cedint_upm	1	0.89519	28:08.946	28:09.720	0.77400	0
xwqjoy2ym	swapped	node_rectorado_upm-node_cedint_upm	1	0.98481	28:08.936	28:09.043	0.10700	0
xwqjoy2ym_yundza4ji	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
fa9qmnbml	active	node_rectorado_upm-node_etsiinf_upm	0.9848141289964648	0.88160	28:08.936	28:10.868	1.93200	""
1zj4i7ykd	swapped	node_etsiinf_upm-node_cedint_upm	1	0.81558	28:44.645	28:46.072	1.42700	1
tzl9ognhk	swapped	node_rectorado_upm-node_cedint_upm	1	0.98594	28:44.635	28:44.734	0.09900	0
tzl9ognhk_1zj4i7ykd	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
31ag444pc	active	node_rectorado_upm-node_etsiinf_upm	0.9859402742471787	0.80411	28:44.635	28:46.153	1.51800	""
7sdhoa3iz	swapped	node_etsiinf_upm-node_cedint_upm	1	0.82189	28:53.325	28:54.698	1.37300	0
2uo4vztfn	swapped	node_rectorado_upm-node_cedint_upm	1	0.98608	28:53.316	28:53.413	0.09700	1
2uo4vztfn_7sdhoa3iz	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
5qzp6ahre	active	node_rectorado_upm-node_etsiinf_upm	0.9860811329188762	0.81045	28:53.316	28:54.807	1.49100	""
p9wthhx8a	swapped	node_etsiinf_upm-node_cedint_upm	1	0.83063	28:57.796	28:59.094	1.29800	1
odt49a7bv	swapped	node_rectorado_upm-node_cedint_upm	1	0.98524	28:57.786	28:57.889	0.10300	0
odt49a7bv_p9wthhx8a	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
oekts75ak	active	node_rectorado_upm-node_etsiinf_upm	0.9852362826496317	0.81837	28:57.786	28:59.194	1.40800	""
rsvc5tf09	swapped	node_etsiinf_upm-node_cedint_upm	1	0.83778	29:06.358	29:07.596	1.23800	1
uc2l2igni	swapped	node_rectorado_upm-node_cedint_upm	1	0.98622	29:06.352	29:06.449	0.09700	1
uc2l2igni_rsvc5tf09	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
ur2xcha7h	active	node_rectorado_upm-node_etsiinf_upm	0.9862220117146785	0.82624	29:06.352	29:07.695	1.34300	""
sw0go0wi8	swapped	node_rectorado_upm-node_cedint_upm	1	0.98749	29:45.252	29:45.339	0.08700	1
sw0go0wi8_zbgcws6th	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
zbgcws6th	swapped	node_etsiinf_upm-node_cedint_upm	1	0.97894	29:45.961	29:46.110	0.14900	1
ctre1ym18	active	node_rectorado_upm-node_etsiinf_upm	0.9874908269361703	0.96669	29:45.252	29:47.241	1.98900	""
x0655mtcx	swapped	node_etsiinf_upm-node_cedint_upm	1	0.83527	29:49.181	29:50.441	1.26000	1
fq7y0u2fx	swapped	node_rectorado_upm-node_cedint_upm	1	0.98622	29:48.949	29:49.045	0.09600	0
fq7y0u2fx_x0655mtcx	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
ydnklq40l	active	node_rectorado_upm-node_etsiinf_upm	0.9862220117146785	0.82376	29:48.949	29:50.616	1.66700	""
7unritd7u	swapped	node_etsiinf_upm-node_cedint_upm	1	0.92075	29:55.134	29:55.712	0.57800	1
0j52eg1ah	swapped	node_rectorado_upm-node_cedint_upm	1	0.98636	29:55.127	29:55.223	0.09600	0
0j52eg1ah_7unritd7u	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
22fc8il2f	active	node_rectorado_upm-node_etsiinf_upm	0.9863629106374607	0.90819	29:55.127	29:56.854	1.72700	""
2jvkpq0iq	swapped	node_etsiinf_upm-node_cedint_upm	1	0.87509	30:10.883	30:11.816	0.93300	0
b3x59603s	swapped	node_rectorado_upm-node_cedint_upm	1	0.98622	30:10.865	30:10.962	0.09700	1
b3x59603s_2jvkpq0iq	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
fm3ra8m4y	active	node_rectorado_upm-node_etsiinf_upm	0.9862220117146785	0.86303	30:10.865	30:12.949	2.08400	""
8n499pcb4	swapped	node_rectorado_upm-node_cedint_upm	1	0.98735	31:11.156	31:11.245	0.08900	0
8n499pcb4_cokftpny5	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
cokftpny5	swapped	node_etsiinf_upm-node_cedint_upm	1	0.99715	31:11.878	31:11.898	0.02000	1
pk7enlfns	active	node_rectorado_upm-node_etsiinf_upm	0.9873497668939971	0.98453	31:11.156	31:12.946	1.79000	""
64vtfqefd	swapped	node_etsiinf_upm-node_cedint_upm	1	0.87085	31:47.257	31:48.225	0.96800	0
mtgqu1tvx	swapped	node_rectorado_upm-node_cedint_upm	1	0.97112	31:47.256	31:47.461	0.20500	0
mtgqu1tvx_64vtfqefd	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
h922t2wg8	active	node_rectorado_upm-node_etsiinf_upm	0.9711227941587893	0.84570	31:47.256	31:48.319	1.06300	""
1lzjhnu6p	swapped	node_etsiinf_upm-node_cedint_upm	1	0.88212	31:51.627	31:52.505	0.87800	0
tx3pjbh36	swapped	node_rectorado_upm-node_cedint_upm	1	0.98566	31:51.624	31:51.724	0.10000	1
tx3pjbh36_1lzjhnu6p	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
