ID	Estado	link	w_gen	w_out	t_gen	t_recv	t_diff	Medicion
fftgjqmpb_08ehgnmxd	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
08ehgnmxd	swapped	node_etsiinf_upm-node_cedint_upm	1	0.80386	51:33.773	51:34.427	0.65400	1
fftgjqmpb	swapped	node_rectorado_upm-node_cedint_upm	1	0.95214	51:33.066	51:33.213	0.14700	1
nd9p9k65c	active	node_rectorado_upm-node_etsiinf_upm	0.9521441540491266	0.76539	51:33.066	51:34.525	1.45900	""
9do97dlrr	swapped	node_etsiinf_upm-node_cedint_upm	1	0.74577	51:41.065	51:41.945	0.88000	1
y1kobnfz0	swapped	node_rectorado_upm-node_cedint_upm	1	0.96750	51:41.053	51:41.151	0.09800	1
y1kobnfz0_9do97dlrr	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
22irvmuek	active	node_rectorado_upm-node_etsiinf_upm	0.967500987571111	0.72154	51:41.053	51:43.105	2.05200	""
35nk035f9_tl5f4af6a	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
tl5f4af6a	swapped	node_etsiinf_upm-node_cedint_upm	1	0.67188	51:46.105	51:47.298	1.19300	1
35nk035f9	swapped	node_rectorado_upm-node_cedint_upm	1	0.96653	51:46.083	51:46.185	0.10200	0
anyka8hb1	active	node_rectorado_upm-node_etsiinf_upm	0.96653397017292	0.64940	51:46.083	51:47.409	1.32600	""
f7l2chmyq	swapped	node_etsiinf_upm-node_cedint_upm	1	0.79586	51:53.069	51:53.754	0.68500	1
iwqtnmk24	swapped	node_rectorado_upm-node_cedint_upm	1	0.96879	51:53.070	51:53.165	0.09500	0
f7l2chmyq_iwqtnmk24	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
6qm4zp5bx	active	node_rectorado_upm-node_etsiinf_upm	0.7958576028759579	0.77102	51:53.069	51:54.910	1.84100	""
sex3vq6rf	swapped	node_etsiinf_upm-node_cedint_upm	1	0.70258	51:59.249	52:00.308	1.05900	1
n83a49mi5	swapped	node_rectorado_upm-node_cedint_upm	1	0.96525	51:59.244	51:59.350	0.10600	0
n83a49mi5_sex3vq6rf	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
i4aw2r8vo	active	node_rectorado_upm-node_etsiinf_upm	0.9652461169723133	0.67816	51:59.244	52:01.478	2.23400	""
fftgjqmpb_08ehgnmxd	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
08ehgnmxd	swapped	node_etsiinf_upm-node_cedint_upm	1	0.80386	51:33.773	51:34.427	0.65400	1
fftgjqmpb	swapped	node_rectorado_upm-node_cedint_upm	1	0.95214	51:33.066	51:33.213	0.14700	1
nd9p9k65c	active	node_rectorado_upm-node_etsiinf_upm	0.9521441540491266	0.76539	51:33.066	51:34.525	1.45900	""
9do97dlrr	swapped	node_etsiinf_upm-node_cedint_upm	1	0.74577	51:41.065	51:41.945	0.88000	1
y1kobnfz0	swapped	node_rectorado_upm-node_cedint_upm	1	0.96750	51:41.053	51:41.151	0.09800	1
y1kobnfz0_9do97dlrr	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
22irvmuek	active	node_rectorado_upm-node_etsiinf_upm	0.967500987571111	0.72154	51:41.053	51:43.105	2.05200	""
35nk035f9_tl5f4af6a	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
tl5f4af6a	swapped	node_etsiinf_upm-node_cedint_upm	1	0.67188	51:46.105	51:47.298	1.19300	1
35nk035f9	swapped	node_rectorado_upm-node_cedint_upm	1	0.96653	51:46.083	51:46.185	0.10200	0
anyka8hb1	active	node_rectorado_upm-node_etsiinf_upm	0.96653397017292	0.64940	51:46.083	51:47.409	1.32600	""
f7l2chmyq	swapped	node_etsiinf_upm-node_cedint_upm	1	0.79586	51:53.069	51:53.754	0.68500	1
iwqtnmk24	swapped	node_rectorado_upm-node_cedint_upm	1	0.96879	51:53.070	51:53.165	0.09500	0
