ID	Estado	link	w_gen	w_out	t_gen	t_recv	t_diff	Medicion
rc2ztcael   swapped node_etsiinf_upm-node_cedint_upm    1   0.95995 47:31.604   47:31.931   0.32700 1
4of3ebdix   swapped node_rectorado_upm-node_cedint_upm  1   0.92553 47:30.377   47:30.995   0.61800 0
4of3ebdix_rc2ztcael swapper node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']   ""  ""  ""  ""  ""  ""
ut195gij9   active  node_rectorado_upm-node_etsiinf_upm 0.9255292318872933  0.88846 47:30.377   47:33.062   2.68500 ""
p55cgg5w0   swapped node_etsiinf_upm-node_cedint_upm    1   0.88892 47:35.215   47:36.157   0.94200 0
j9vckaciz   swapped node_rectorado_upm-node_cedint_upm  1   0.98732 47:35.205   47:35.306   0.10100 0
j9vckaciz_p55cgg5w0 swapper node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']   ""  ""  ""  ""  ""  ""
xy20o7dw1   active  node_rectorado_upm-node_etsiinf_upm 0.9873165590009303  0.87764 47:35.205   47:37.296   2.09100 ""
1duxjeab6_bsmbta2cn swapper node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']   ""  ""  ""  ""  ""  ""
bsmbta2cn   swapped node_etsiinf_upm-node_cedint_upm    1   0.87382 47:39.332   47:40.410   1.07800 0
1duxjeab6   swapped node_rectorado_upm-node_cedint_upm  1   0.98769 47:39.323   47:39.422   0.09900 1
luie7sleh   active  node_rectorado_upm-node_etsiinf_upm 0.9876868721398928  0.86307 47:39.323   47:40.497   1.17400 ""
yffvrukh5_qlq53lp3w swapper node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']   ""  ""  ""  ""  ""  ""
qlq53lp3w   swapped node_etsiinf_upm-node_cedint_upm    1   0.93123 47:41.073   47:41.643   0.57000 1
yffvrukh5   swapped node_rectorado_upm-node_cedint_upm  1   0.98682 47:41.057   47:41.162   0.10500 1
sdik2tktt   active  node_rectorado_upm-node_etsiinf_upm 0.9868230241153888  0.91896 47:41.057   47:42.770   1.71300 ""
yulwlksem_sxo387c38 swapper node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']   ""  ""  ""  ""  ""  ""
sxo387c38   swapped node_etsiinf_upm-node_cedint_upm    1   0.93018 47:45.274   47:45.853   0.57900 0
yulwlksem   swapped node_rectorado_upm-node_cedint_upm  1   0.98732 47:45.265   47:45.367   0.10200 1
cqzhzl777   active  node_rectorado_upm-node_etsiinf_upm 0.9873165590008742  0.91838 47:45.265   47:46.982   1.71700 ""
