ID	Estado	link	w_gen	w_out	t_gen	t_recv	t_diff	Medicion
cdklchas0	swapped	node_etsiinf_upm-node_cedint_upm	1	0.84705	44:11.347	44:12.011	0.66400	1
3ljfs9wtx	swapped	node_rectorado_upm-node_cedint_upm	1	0.92217	44:10.690	44:11.014	0.32400	1
3ljfs9wtx_cdklchas0	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
yxfus50mg	active	node_rectorado_upm-node_etsiinf_upm	0.9221668329444576	0.78112	44:10.690	44:10.830	0.14000	""
moyajd9xr	swapped	node_etsiinf_upm-node_cedint_upm	1	0.85342	44:12.279	44:12.913	0.63400	1
q2qcl9jk8	swapped	node_rectorado_upm-node_cedint_upm	1	0.97504	44:12.045	44:12.145	0.10000	1
q2qcl9jk8_moyajd9xr	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
8ncuy62oh	active	node_rectorado_upm-node_etsiinf_upm	0.9750377166391465	0.83212	44:12.045	44:14.050	2.00500	""
zk93wd59i_7uymoxv1g	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
7uymoxv1g	swapped	node_etsiinf_upm-node_cedint_upm	1	0.67773	44:26.513	44:28.069	1.55600	0
zk93wd59i	swapped	node_rectorado_upm-node_cedint_upm	1	0.97528	44:26.493	44:26.592	0.09900	1
yfmgfydhv	active	node_rectorado_upm-node_etsiinf_upm	0.9752815065408239	0.66098	44:26.493	44:28.178	1.68500	""
hn20l18hd	swapped	node_etsiinf_upm-node_cedint_upm	1	0.70575	44:31.982	44:33.376	1.39400	0
28nh1un0q	swapped	node_rectorado_upm-node_cedint_upm	1	0.97406	44:31.973	44:32.078	0.10500	1
28nh1un0q_hn20l18hd	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
vu5pop1na	active	node_rectorado_upm-node_etsiinf_upm	0.9740631662789231	0.68744	44:31.973	44:33.476	1.50300	""
fmh4kwfsa	swapped	node_etsiinf_upm-node_cedint_upm	1	0.78134	45:21.591	45:22.578	0.98700	1
kl9elmhg8	swapped	node_rectorado_upm-node_cedint_upm	1	0.97528	45:20.983	45:21.083	0.10000	0
kl9elmhg8_fmh4kwfsa	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
g2c7oq6lx	active	node_rectorado_upm-node_etsiinf_upm	0.9752815065408239	0.76202	45:20.983	45:22.674	1.69100	""
x1ldpenxx	swapped	node_etsiinf_upm-node_cedint_upm	1	0.73675	45:25.647	45:26.869	1.22200	0
okmr15ge7	swapped	node_rectorado_upm-node_cedint_upm	1	0.97553	45:25.636	45:25.735	0.09900	0
okmr15ge7_x1ldpenxx	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
g05j7zt6y	active	node_rectorado_upm-node_etsiinf_upm	0.9755253573974849	0.71872	45:25.636	45:26.972	1.33600	""
pmhb2stwg	swapped	node_rectorado_upm-node_cedint_upm	1	0.97650	45:37.029	45:37.123	0.09400	1
je3hfctkd	swapped	node_etsiinf_upm-node_cedint_upm	1	0.85513	45:37.036	45:37.662	0.62600	0
pmhb2stwg_je3hfctkd	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
26p2o57n3	active	node_rectorado_upm-node_etsiinf_upm	0.9765013706802773	0.83504	45:37.029	45:38.796	1.76700	""
12hjrpp5i	swapped	node_etsiinf_upm-node_cedint_upm	1	0.82181	45:41.202	45:41.987	0.78500	1
iybm65irs	swapped	node_rectorado_upm-node_cedint_upm	1	0.97626	45:41.195	45:41.291	0.09600	1
iybm65irs_12hjrpp5i	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
8tqp01xqe	active	node_rectorado_upm-node_etsiinf_upm	0.9762572758506826	0.80229	45:41.195	45:42.407	1.31200	""
le6lrcuwj	swapped	node_etsiinf_upm-node_cedint_upm	1	0.81383	47:11.131	47:11.955	0.82400	1
ei0rep6lb	swapped	node_rectorado_upm-node_cedint_upm	1	0.97821	47:10.424	47:10.511	0.08700	0
ei0rep6lb_le6lrcuwj	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
kkw5o4kd5	active	node_rectorado_upm-node_etsiinf_upm	0.9782117442192168	0.79610	47:10.424	47:12.050	1.62600	""
60kllfk13_27nssam3n	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
27nssam3n	swapped	node_etsiinf_upm-node_cedint_upm	1	0.82037	47:12.155	47:12.947	0.79200	1
60kllfk13	swapped	node_rectorado_upm-node_cedint_upm	1	0.97455	47:11.728	47:11.830	0.10200	1
nw6sveny2	active	node_rectorado_upm-node_etsiinf_upm	0.9745503196402423	0.79949	47:11.728	47:13.038	1.31000	""
jzkzin3sx	swapped	node_etsiinf_upm-node_cedint_upm	1	0.77356	47:17.247	47:18.274	1.02700	0
aytgau2st	swapped	node_rectorado_upm-node_cedint_upm	1	0.97504	47:17.239	47:17.340	0.10100	1
aytgau2st_jzkzin3sx	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
rrt7noqzr	active	node_rectorado_upm-node_etsiinf_upm	0.9750377166391465	0.75425	47:17.239	47:19.427	2.18800	""
scxkgqaz0	swapped	node_etsiinf_upm-node_cedint_upm	1	0.84493	47:20.837	47:21.511	0.67400	0
qn60u1ea3	swapped	node_rectorado_upm-node_cedint_upm	1	0.97504	47:20.824	47:20.924	0.10000	1
qn60u1ea3_scxkgqaz0	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
xywyh2vc6	active	node_rectorado_upm-node_etsiinf_upm	0.9750377166391465	0.82384	47:20.824	47:22.653	1.82900	""
mmnc2db14_jkkvdbre1	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
jkkvdbre1	swapped	node_etsiinf_upm-node_cedint_upm	1	0.90371	48:13.485	48:13.890	0.40500	0
mmnc2db14	swapped	node_rectorado_upm-node_cedint_upm	1	0.95525	48:13.475	48:13.658	0.18300	1
8jgffp3op	active	node_rectorado_upm-node_etsiinf_upm	0.9552529303820572	0.86327	48:13.475	48:15.055	1.58000	""
xoqps8oki	swapped	node_etsiinf_upm-node_cedint_upm	1	0.82263	48:17.462	48:18.242	0.78000	0
qy2vll63a	swapped	node_rectorado_upm-node_cedint_upm	1	0.97479	48:17.455	48:17.557	0.10200	1
qy2vll63a_xoqps8oki	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
do6nh8n01	active	node_rectorado_upm-node_etsiinf_upm	0.9747939876774375	0.80189	48:17.455	48:19.401	1.94600	""
tr126bim4	swapped	node_etsiinf_upm-node_cedint_upm	1	0.76606	48:22.594	48:23.660	1.06600	0
nw5qr0gvh	swapped	node_rectorado_upm-node_cedint_upm	1	0.97650	48:22.589	48:22.683	0.09400	1
nw5qr0gvh_tr126bim4	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
p288rq7q4	active	node_rectorado_upm-node_etsiinf_upm	0.9765013706801663	0.74805	48:22.589	48:24.794	2.20500	""
2o8gn5ehp	swapped	node_etsiinf_upm-node_cedint_upm	1	0.81282	48:28.200	48:29.029	0.82900	0
hvshvei60	swapped	node_rectorado_upm-node_cedint_upm	1	0.97626	48:28.199	48:28.294	0.09500	1
hvshvei60_2o8gn5ehp	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
13x7u94xg	active	node_rectorado_upm-node_etsiinf_upm	0.9762572758506826	0.79352	48:28.199	48:30.159	1.96000	""
mmnc2db14_jkkvdbre1	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
jkkvdbre1	swapped	node_etsiinf_upm-node_cedint_upm	1	0.90371	48:13.485	48:13.890	0.40500	0
mmnc2db14	swapped	node_rectorado_upm-node_cedint_upm	1	0.95525	48:13.475	48:13.658	0.18300	1
8jgffp3op	active	node_rectorado_upm-node_etsiinf_upm	0.9552529303820572	0.86327	48:13.475	48:15.055	1.58000	""
xoqps8oki	swapped	node_etsiinf_upm-node_cedint_upm	1	0.82263	48:17.462	48:18.242	0.78000	0
