ID	Estado	link	w_gen	w_out	t_gen	t_recv	t_diff	Medicion
4el574pty	swapped	node_etsiinf_upm-node_cedint_upm	1	0.49534	01:40.552	01:41.957	1.40500	1
1j2lp15f1	swapped	node_rectorado_upm-node_cedint_upm	1	0.95355	01:40.553	01:40.648	0.09500	1
4el574pty_1j2lp15f1	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
2qeau2p1g	active	node_rectorado_upm-node_etsiinf_upm	0.4953441527066958	0.47234	01:40.552	01:42.061	1.50900	""
w9oc4ap0f	swapped	node_etsiinf_upm-node_cedint_upm	1	0.48993	01:44.814	01:46.240	1.42600	0
n4w06tf75	swapped	node_rectorado_upm-node_cedint_upm	1	0.95117	01:44.806	01:44.906	0.10000	1
n4w06tf75_w9oc4ap0f	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
95u9xsfsn	active	node_rectorado_upm-node_etsiinf_upm	0.9511740170004919	0.46600	01:44.806	01:46.333	1.52700	""
ijf3cmjfq	swapped	node_etsiinf_upm-node_cedint_upm	1	0.69108	01:48.752	01:49.491	0.73900	1
2hnwlu5bb	swapped	node_rectorado_upm-node_cedint_upm	1	0.95213	01:48.745	01:48.843	0.09800	0
2hnwlu5bb_ijf3cmjfq	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
kejlpgogo	active	node_rectorado_upm-node_etsiinf_upm	0.9521256667630741	0.65799	01:48.745	01:50.663	1.91800	""
enjv7xkso	swapped	node_etsiinf_upm-node_cedint_upm	1	0.54389	01:53.693	01:54.911	1.21800	0
kd6x89ng7	swapped	node_rectorado_upm-node_cedint_upm	1	0.95213	01:53.686	01:53.784	0.09800	1
kd6x89ng7_enjv7xkso	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
ig5t4bv7p	active	node_rectorado_upm-node_etsiinf_upm	0.9521256667630741	0.51785	01:53.686	01:55.019	1.33300	""
12lb2mkis	swapped	node_rectorado_upm-node_cedint_upm	1	0.84615	03:00.378	03:00.712	0.33400	0
12lb2mkis_jn2yjxh57	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
jn2yjxh57	swapped	node_etsiinf_upm-node_cedint_upm	1	0.52888	03:01.064	03:02.338	1.27400	0
08igr5gms	active	node_rectorado_upm-node_etsiinf_upm	0.8461503216454027	0.44751	03:00.378	03:02.446	2.06800	""
