ID  Estado  link    w_gen   w_out   t_gen   t_recv  t_diff  Medicion
mseaiglzs	active	node_rectorado_upm-node_etsiinf_upm	0.9901373085161274	0.89011	09:53.647	09:54.801	1.15400	""
s4ocvjw54	swapped	node_etsiinf_upm-node_cedint_upm	1	0.94299	09:57.423	09:58.010	0.58700	1
hn486te60	swapped	node_rectorado_upm-node_cedint_upm	1	0.99024	09:57.418	09:57.515	0.09700	0
hn486te60_s4ocvjw54	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
xwyzdrncc	active	node_rectorado_upm-node_etsiinf_upm	0.9902363271978283	0.93378	09:57.418	09:59.175	1.75700	""
6pqrzfl0f	swapped	node_etsiinf_upm-node_cedint_upm	1	0.90059	10:02.349	10:03.396	1.04700	1
ro33lt06t	swapped	node_rectorado_upm-node_cedint_upm	1	0.98974	10:02.342	10:02.444	0.10200	0
ro33lt06t_6pqrzfl0f	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
r42t712uu	active	node_rectorado_upm-node_etsiinf_upm	0.989741332793132	0.89136	10:02.342	10:03.475	1.13300	""
kmfvtut1c	swapped	node_etsiinf_upm-node_cedint_upm	1	0.93454	10:28.420	10:29.097	0.67700	0
kqvmtrtmm	swapped	node_rectorado_upm-node_cedint_upm	1	0.99192	10:27.694	10:27.774	0.08000	1
kqvmtrtmm_kmfvtut1c	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
02zw6k5rs	active	node_rectorado_upm-node_etsiinf_upm	0.9919211606567345	0.92699	10:27.694	10:29.186	1.49200	""
vvw2kaia7	swapped	node_etsiinf_upm-node_cedint_upm	1	0.93697	10:31.740	10:32.391	0.65100	1
nuwgbs49k	swapped	node_rectorado_upm-node_cedint_upm	1	0.98954	10:31.357	10:31.462	0.10500	0
nuwgbs49k_vvw2kaia7	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
0n8p8grki	active	node_rectorado_upm-node_etsiinf_upm	0.9895434043200851	0.92718	10:31.357	10:33.550	2.19300	""
