ID	Estado	link	w_gen	w_out	t_gen	t_recv	t_diff	Medicion
3dtdgav4t_zz0hifrff	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
zz0hifrff	swapped	node_etsiinf_upm-node_cedint_upm	1	0.79533	52:05.354	52:06.728	1.37400	0
3dtdgav4t	swapped	node_rectorado_upm-node_cedint_upm	1	0.96607	52:05.354	52:05.561	0.20700	0
26k0eptgx	active	node_rectorado_upm-node_etsiinf_upm	0.9660695816532853	0.76834	52:05.354	52:06.818	1.46400	""
dx8mg3qtb	swapped	node_etsiinf_upm-node_cedint_upm	1	0.78010	52:06.319	52:07.809	1.49000	0
pty5zlzqe	swapped	node_rectorado_upm-node_cedint_upm	1	0.98296	52:06.312	52:06.414	0.10200	0
pty5zlzqe_dx8mg3qtb	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
hdsdgw33p	active	node_rectorado_upm-node_etsiinf_upm	0.9829607550015222	0.76681	52:06.312	52:07.897	1.58500	""
oy0869np2_wjqce0edc	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
wjqce0edc	swapped	node_etsiinf_upm-node_cedint_upm	1	0.82986	52:09.885	52:11.004	1.11900	0
oy0869np2	swapped	node_rectorado_upm-node_cedint_upm	1	0.98296	52:09.879	52:09.982	0.10300	0
81ldle9e4	active	node_rectorado_upm-node_etsiinf_upm	0.9829607550015222	0.81572	52:09.879	52:11.098	1.21900	""
kldqki0tq	swapped	node_etsiinf_upm-node_cedint_upm	1	0.86748	52:15.453	52:16.306	0.85300	1
xyp437hzh	swapped	node_rectorado_upm-node_cedint_upm	1	0.98312	52:15.448	52:15.550	0.10200	0
xyp437hzh_kldqki0tq	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
9p55kzk5m	active	node_rectorado_upm-node_etsiinf_upm	0.9831245954469726	0.85284	52:15.448	52:17.414	1.96600	""
kx1bzjlmt_yftgb0mgm	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
