ID	Estado	link	w_gen	w_out	t_gen	t_recv	t_diff	Medicion
llhn4v7fq_0cubvfo6e	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
0cubvfo6e	swapped	node_etsiinf_upm-node_cedint_upm	1	0.88073	12:22.570	12:23.712	1.14200	1
llhn4v7fq	swapped	node_rectorado_upm-node_cedint_upm	1	0.95482	12:22.150	12:22.566	0.41600	0
7uqnmhmzv	active	node_rectorado_upm-node_etsiinf_upm	0.954817394562379	0.84094	12:22.150	12:23.802	1.65200	""
176dgs3kr	swapped	node_etsiinf_upm-node_cedint_upm	1	0.87052	12:25.766	12:27.014	1.24800	0
zii4s6kmx	swapped	node_rectorado_upm-node_cedint_upm	1	0.97834	12:25.569	12:25.765	0.19600	1
zii4s6kmx_176dgs3kr	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
uknconm6y	active	node_rectorado_upm-node_etsiinf_upm	0.9783362703479394	0.85166	12:25.569	12:27.108	1.53900	""
sd8kw10tx	swapped	node_etsiinf_upm-node_cedint_upm	1	0.89992	12:29.224	12:30.173	0.94900	1
fxbccu4t0	swapped	node_rectorado_upm-node_cedint_upm	1	0.98894	12:29.221	12:29.320	0.09900	1
fxbccu4t0_sd8kw10tx	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
lfrmjka9a	active	node_rectorado_upm-node_etsiinf_upm	0.9889375879634006	0.88997	12:29.221	12:31.302	2.08100	""
33sl9oh7y_rua0pu88m	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
rua0pu88m	swapped	node_etsiinf_upm-node_cedint_upm	1	0.87362	12:33.250	12:34.466	1.21600	0
33sl9oh7y	swapped	node_rectorado_upm-node_cedint_upm	1	0.98883	12:33.246	12:33.346	0.10000	1
1i51php4v	active	node_rectorado_upm-node_etsiinf_upm	0.988827712113512	0.86386	12:33.246	12:34.558	1.31200	""
73h7ir9wj	swapped	node_etsiinf_upm-node_cedint_upm	1	0.88152	13:12.859	13:13.994	1.13500	0
t9yzjcaun	swapped	node_rectorado_upm-node_cedint_upm	1	0.96046	13:12.161	13:12.524	0.36300	0
t9yzjcaun_73h7ir9wj	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
vpzoa7jr7	active	node_rectorado_upm-node_etsiinf_upm	0.9604567967170807	0.84666	13:12.161	13:14.087	1.92600	""
nrnppixfz	swapped	node_etsiinf_upm-node_cedint_upm	1	0.90655	13:16.302	13:17.184	0.88200	1
mdhh271vd	swapped	node_rectorado_upm-node_cedint_upm	1	0.98806	13:16.298	13:16.405	0.10700	1
mdhh271vd_nrnppixfz	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
fedc7l3mh	active	node_rectorado_upm-node_etsiinf_upm	0.9880589229053217	0.89572	13:16.298	13:18.299	2.00100	""
5rlz0w180	swapped	node_etsiinf_upm-node_cedint_upm	1	0.90042	13:20.557	13:21.501	0.94400	0
id76cjtxl	swapped	node_rectorado_upm-node_cedint_upm	1	0.98916	13:20.550	13:20.648	0.09800	0
id76cjtxl_5rlz0w180	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
9x1hvsg75	active	node_rectorado_upm-node_etsiinf_upm	0.9891573762918526	0.89066	13:20.550	13:22.660	2.11000	""
wgiwj0661	swapped	node_etsiinf_upm-node_cedint_upm	1	0.90604	13:25.015	13:25.903	0.88800	1
xjfs1pri4	swapped	node_rectorado_upm-node_cedint_upm	1	0.98861	13:25.009	13:25.112	0.10300	0
xjfs1pri4_wgiwj0661	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
qohviz907	active	node_rectorado_upm-node_etsiinf_upm	0.988607997035627	0.89572	13:25.009	13:27.056	2.04700	""
238xnqka7_rag5d0oe6	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
rag5d0oe6	swapped	node_etsiinf_upm-node_cedint_upm	1	0.87946	13:29.139	13:30.295	1.15600	1
