ID,event,id,t,t_diff,t_end,t_end_recv,t_start
pny4h90a7,ORDER_RECEIVE,pny4h90a7,,,,,7642.229862
ium5zq31t,ORDER_RECEIVE,ium5zq31t,,,,,7642.230186
pny4h90a7,ORDER_RECV_STARTING,pny4h90a7,,,,,7642.232059
ium5zq31t,ORDER_RECV_STARTING,ium5zq31t,,,,,7642.23213
pny4h90a7,CreateEPR_backend,pny4h90a7,,0.012971,23.45143,,23.438459
pny4h90a7,CreateEPR_notify,pny4h90a7,,0.001348,23.452962,,23.451614
pny4h90a7,CreateEPR_total,pny4h90a7,,0.014821,23.453167,,23.438346
pny4h90a7,SENDING,pny4h90a7,,,,,7643.453926
pny4h90a7,ORDER_RECV_EXECUTING_AFTER_FOUND,pny4h90a7,,,,,7643.454665
ium5zq31t,CreateEPR_backend,ium5zq31t,,0.015021,23.470826,,23.455805
ium5zq31t,CreateEPR_notify,ium5zq31t,,0.001709,23.472841,,23.471132
ium5zq31t,CreateEPR_total,ium5zq31t,,0.017732,23.473252,,23.45552
ium5zq31t,SENDING,ium5zq31t,,,,,7643.474632
ium5zq31t,ORDER_RECV_EXECUTING_AFTER_FOUND,ium5zq31t,,,,,7643.475596
pny4h90a7,RECV_ENTER,pny4h90a7,24.682646,,,,
pny4h90a7,RECV_EPR_START,pny4h90a7,24.682641,,,,
pny4h90a7,ReceiveEPR,pny4h90a7,,0.002206,24.684847,,24.682641
pny4h90a7,RECV_EPR_START_BEFORE_CALCS,pny4h90a7,24.68501,,,,
pny4h90a7,RECV_BEFORE_MONITOR,pny4h90a7,24.685119,,,,
pny4h90a7,RECV_BEFORE_UPDATE,pny4h90a7,24.685699,,,,
pny4h90a7,RECV_BEFORE_NOTIFY,pny4h90a7,24.685979,,,,
pny4h90a7,EPR_TOTAL,pny4h90a7,24.686082,,,,
NONE,SOCKET_ACCEPT,NONE,24.687625,,,,
NONE,SOCKET_HANDLER_START,NONE,24.688198,,,,
NONE,SOCKET_RECV_DONE,NONE,24.688539,,,,
pny4h90a7,RECV_TOTAL_no_plots,pny4h90a7,,0.02135499999999979,,24.703996,24.682641
pny4h90a7,RECV_TOTAL_EPR_FINAL,pny4h90a7,,1.2334609999999984,,24.685069,23.451608
pny4h90a7,RECV_TOTAL,pny4h90a7,,0.027485999999999677,,24.710127,24.682641
