ID,event,id,t,t_diff,t_end,t_end_recv,t_start
dvmuk5at5,ORDER_RECEIVE,dvmuk5at5,,,,,31:48.835193
n0psyqxgs,ORDER_RECEIVE,n0psyqxgs,,,,,31:48.835640
dvmuk5at5,ORDER_RECV_STARTING,dvmuk5at5,,,,,31:48.836198
n0psyqxgs,CreateEPR_backend,n0psyqxgs,,0.011466,45:24.132775,,45:24.121309
n0psyqxgs,CreateEPR_notify,n0psyqxgs,,0.001359,45:24.134301,,45:24.132942
n0psyqxgs,CreateEPR_total,n0psyqxgs,,0.01323,45:24.134518,,45:24.121288
n0psyqxgs,SENDING,n0psyqxgs,,,,,31:49.742208
dvmuk5at5,CreateEPR_backend,dvmuk5at5,,0.009785,45:24.175205,,45:24.165420
dvmuk5at5,CreateEPR_notify,dvmuk5at5,,0.000771,45:24.176149,,45:24.175378
dvmuk5at5,CreateEPR_total,dvmuk5at5,,0.010935,45:24.176248,,45:24.165313
dvmuk5at5,SENDING,dvmuk5at5,,,,,31:49.783745
dvmuk5at5,ORDER_RECV_EXECUTING_AFTER_FOUND,dvmuk5at5,,,,,31:49.783973
n0psyqxgs,ORDER_RECV_STARTING,n0psyqxgs,,,,,31:49.786743
n0psyqxgs,ORDER_RECV_EXECUTING_AFTER_FOUND,n0psyqxgs,,,,,31:49.787027
dvmuk5at5,RECV_ENTER,dvmuk5at5,45:25.161978,,,,
dvmuk5at5,RECV_EPR_START,dvmuk5at5,45:25.161970,,,,
dvmuk5at5,ReceiveEPR,dvmuk5at5,,0.002682,45:25.164652,,45:25.161970
dvmuk5at5,RECV_EPR_START_BEFORE_CALCS,dvmuk5at5,45:25.164781,,,,
dvmuk5at5,RECV_BEFORE_MONITOR,dvmuk5at5,45:25.164831,,,,
dvmuk5at5,RECV_BEFORE_UPDATE,dvmuk5at5,45:25.165430,,,,
dvmuk5at5,RECV_BEFORE_NOTIFY,dvmuk5at5,45:25.165690,,,,
dvmuk5at5,EPR_TOTAL,dvmuk5at5,45:25.165967,,,,
NONE,SOCKET_ACCEPT,NONE,45:25.168945,,,,
NONE,SOCKET_HANDLER_START,NONE,45:25.169618,,,,
NONE,SOCKET_RECV_DONE,NONE,45:25.169975,,,,
dvmuk5at5,RECV_TOTAL_no_plots,dvmuk5at5,,0.013956999999663822,,45:25.175927,45:25.161970
dvmuk5at5,RECV_TOTAL_EPR_FINAL,dvmuk5at5,,0.9894360000002962,,45:25.164811,45:24.175375
dvmuk5at5,RECV_TOTAL,dvmuk5at5,,0.015693999999712105,,45:25.177664,45:25.161970
n0psyqxgs,SOCKET_BEFORE_RECV_EPR,n0psyqxgs,45:25.241425,,,,
n0psyqxgs,RECV_ENTER,n0psyqxgs,45:25.242277,,,,
n0psyqxgs,RECV_EPR_START,n0psyqxgs,45:25.242266,,,,
n0psyqxgs,ReceiveEPR,n0psyqxgs,,0.003157,45:25.245423,,45:25.242266
n0psyqxgs,RECV_EPR_START_BEFORE_CALCS,n0psyqxgs,45:25.253027,,,,
n0psyqxgs,RECV_BEFORE_MONITOR,n0psyqxgs,45:25.282975,,,,
n0psyqxgs,RECV_BEFORE_UPDATE,n0psyqxgs,45:25.289148,,,,
n0psyqxgs,RECV_BEFORE_NOTIFY,n0psyqxgs,45:25.289487,,,,
n0psyqxgs,EPR_TOTAL,n0psyqxgs,45:25.290296,,,,
n0psyqxgs,RECV_TOTAL_no_plots,n0psyqxgs,,0.0674629999998615,,45:25.309729,45:25.242266
n0psyqxgs,RECV_TOTAL_EPR_FINAL,n0psyqxgs,,1.1499759999996968,,45:25.282915,45:24.132939
n0psyqxgs,RECV_TOTAL,n0psyqxgs,,0.08534499999996115,,45:25.327611,45:25.242266
n0psyqxgs,SOCKET_AFTER_RECV_EPR,n0psyqxgs,45:25.328831,,,,
n0psyqxgs,SOCKET_AFTER_SEND_RECV_EPR,n0psyqxgs,45:25.329945,,,,
t2i4s67gk,ORDER_RECEIVE,t2i4s67gk,,,,,31:53.800802
1shmnntfq,ORDER_RECEIVE,1shmnntfq,,,,,31:53.800916
1shmnntfq,ORDER_RECV_STARTING,1shmnntfq,,,,,31:53.802346
1shmnntfq,CreateEPR_backend,1shmnntfq,,0.008478,45:28.209375,,45:28.200897
1shmnntfq,CreateEPR_notify,1shmnntfq,,0.000127,45:28.209632,,45:28.209505
1shmnntfq,CreateEPR_total,1shmnntfq,,0.008835,45:28.209686,,45:28.200851
1shmnntfq,SENDING,1shmnntfq,,,,,31:53.816628
t2i4s67gk,CreateEPR_backend,t2i4s67gk,,0.009218,45:28.210002,,45:28.200784
t2i4s67gk,CreateEPR_notify,t2i4s67gk,,0.000222,45:28.210333,,45:28.210111
t2i4s67gk,CreateEPR_total,t2i4s67gk,,0.009992,45:28.210403,,45:28.200411
t2i4s67gk,SENDING,t2i4s67gk,,,,,31:53.817082
1shmnntfq,ORDER_RECV_EXECUTING_AFTER_FOUND,1shmnntfq,,,,,31:53.817238
1shmnntfq,SOCKET_BEFORE_RECV_EPR,1shmnntfq,45:28.217180,,,,
1shmnntfq,RECV_ENTER,1shmnntfq,45:28.217418,,,,
1shmnntfq,RECV_EPR_START,1shmnntfq,45:28.217409,,,,
1shmnntfq,ReceiveEPR,1shmnntfq,,0.002909,45:28.220318,,45:28.217409
1shmnntfq,RECV_EPR_START_BEFORE_CALCS,1shmnntfq,45:28.220454,,,,
1shmnntfq,RECV_BEFORE_MONITOR,1shmnntfq,45:28.220496,,,,
1shmnntfq,RECV_BEFORE_UPDATE,1shmnntfq,45:28.220850,,,,
1shmnntfq,RECV_BEFORE_NOTIFY,1shmnntfq,45:28.221116,,,,
1shmnntfq,EPR_TOTAL,1shmnntfq,45:28.221144,,,,
1shmnntfq,RECV_TOTAL_no_plots,1shmnntfq,,0.00803200000018478,,45:28.225441,45:28.217409
1shmnntfq,RECV_TOTAL_EPR_FINAL,1shmnntfq,,0.010975000000144064,,45:28.220478,45:28.209503
1shmnntfq,RECV_TOTAL,1shmnntfq,,0.008739000000332453,,45:28.226148,45:28.217409
1shmnntfq,SOCKET_AFTER_RECV_EPR,1shmnntfq,45:28.226345,,,,
1shmnntfq,SOCKET_AFTER_SEND_RECV_EPR,1shmnntfq,45:28.227509,,,,
t2i4s67gk,ORDER_RECV_STARTING,t2i4s67gk,,,,,31:53.835407
t2i4s67gk,ORDER_RECV_EXECUTING_AFTER_FOUND,t2i4s67gk,,,,,31:53.835850
t2i4s67gk,SOCKET_BEFORE_RECV_EPR,t2i4s67gk,45:28.245635,,,,
t2i4s67gk,RECV_ENTER,t2i4s67gk,45:28.271081,,,,
t2i4s67gk,RECV_EPR_START,t2i4s67gk,45:28.271075,,,,
t2i4s67gk,ReceiveEPR,t2i4s67gk,,0.009094,45:28.280169,,45:28.271075
t2i4s67gk,RECV_EPR_START_BEFORE_CALCS,t2i4s67gk,45:28.292194,,,,
t2i4s67gk,RECV_BEFORE_MONITOR,t2i4s67gk,45:28.292302,,,,
t2i4s67gk,RECV_BEFORE_UPDATE,t2i4s67gk,45:28.292847,,,,
t2i4s67gk,RECV_BEFORE_NOTIFY,t2i4s67gk,45:28.293364,,,,
t2i4s67gk,EPR_TOTAL,t2i4s67gk,45:28.293781,,,,
t2i4s67gk,RECV_TOTAL_no_plots,t2i4s67gk,,0.04223299999966912,,45:28.313308,45:28.271075
t2i4s67gk,RECV_TOTAL_EPR_FINAL,t2i4s67gk,,0.08217599999989034,,45:28.292284,45:28.210108
t2i4s67gk,RECV_TOTAL,t2i4s67gk,,0.04975299999978233,,45:28.320828,45:28.271075
t2i4s67gk,SOCKET_AFTER_RECV_EPR,t2i4s67gk,45:28.322697,,,,
t2i4s67gk,SOCKET_AFTER_SEND_RECV_EPR,t2i4s67gk,45:28.325391,,,,
daj0b0ak0,ORDER_RECEIVE,daj0b0ak0,,,,,31:58.765653
s2r7lumu2,ORDER_RECEIVE,s2r7lumu2,,,,,31:58.765956
daj0b0ak0,ORDER_RECV_STARTING,daj0b0ak0,,,,,31:58.770716
s2r7lumu2,CreateEPR_backend,s2r7lumu2,,0.010546,45:33.175041,,45:33.164495
s2r7lumu2,CreateEPR_notify,s2r7lumu2,,0.000399,45:33.175691,,45:33.175292
s2r7lumu2,SENDING,s2r7lumu2,,,,,31:58.782417
s2r7lumu2,CreateEPR_total,s2r7lumu2,,0.01135,45:33.175827,,45:33.164477
daj0b0ak0,CreateEPR_backend,daj0b0ak0,,0.010974,45:33.176745,,45:33.165771
daj0b0ak0,CreateEPR_notify,daj0b0ak0,,0.00019,45:33.177128,,45:33.176938
daj0b0ak0,CreateEPR_total,daj0b0ak0,,0.0115,45:33.177219,,45:33.165719
daj0b0ak0,SENDING,daj0b0ak0,,,,,31:58.784362
daj0b0ak0,ORDER_RECV_EXECUTING_AFTER_FOUND,daj0b0ak0,,,,,31:58.785681
daj0b0ak0,SOCKET_BEFORE_RECV_EPR,daj0b0ak0,45:33.184496,,,,
daj0b0ak0,RECV_ENTER,daj0b0ak0,45:33.184611,,,,
daj0b0ak0,RECV_EPR_START,daj0b0ak0,45:33.184609,,,,
daj0b0ak0,ReceiveEPR,daj0b0ak0,,0.001807,45:33.186416,,45:33.184609
daj0b0ak0,RECV_EPR_START_BEFORE_CALCS,daj0b0ak0,45:33.186572,,,,
daj0b0ak0,RECV_BEFORE_MONITOR,daj0b0ak0,45:33.186617,,,,
daj0b0ak0,RECV_BEFORE_UPDATE,daj0b0ak0,45:33.186912,,,,
daj0b0ak0,RECV_BEFORE_NOTIFY,daj0b0ak0,45:33.187222,,,,
daj0b0ak0,EPR_TOTAL,daj0b0ak0,45:33.187253,,,,
daj0b0ak0,RECV_TOTAL_no_plots,daj0b0ak0,,0.007127000000309636,,45:33.191736,45:33.184609
daj0b0ak0,RECV_TOTAL_EPR_FINAL,daj0b0ak0,,0.009665000000040891,,45:33.186599,45:33.176934
daj0b0ak0,RECV_TOTAL,daj0b0ak0,,0.007572999999865715,,45:33.192182,45:33.184609
daj0b0ak0,SOCKET_AFTER_RECV_EPR,daj0b0ak0,45:33.193467,,,,
daj0b0ak0,SOCKET_AFTER_SEND_RECV_EPR,daj0b0ak0,45:33.194393,,,,
s2r7lumu2,ORDER_RECV_STARTING,s2r7lumu2,,,,,31:58.802221
s2r7lumu2,ORDER_RECV_EXECUTING_AFTER_FOUND,s2r7lumu2,,,,,31:58.802564
s2r7lumu2,SOCKET_BEFORE_RECV_EPR,s2r7lumu2,45:33.207942,,,,
s2r7lumu2,RECV_ENTER,s2r7lumu2,45:33.212865,,,,
s2r7lumu2,RECV_EPR_START,s2r7lumu2,45:33.212858,,,,
s2r7lumu2,ReceiveEPR,s2r7lumu2,,0.005915,45:33.218773,,45:33.212858
s2r7lumu2,RECV_EPR_START_BEFORE_CALCS,s2r7lumu2,45:33.229450,,,,
s2r7lumu2,RECV_BEFORE_MONITOR,s2r7lumu2,45:33.236478,,,,
s2r7lumu2,RECV_BEFORE_UPDATE,s2r7lumu2,45:33.249607,,,,
s2r7lumu2,RECV_BEFORE_NOTIFY,s2r7lumu2,45:33.257781,,,,
s2r7lumu2,EPR_TOTAL,s2r7lumu2,45:33.258635,,,,
s2r7lumu2,RECV_TOTAL_no_plots,s2r7lumu2,,0.056428000000323664,,45:33.269286,45:33.212858
s2r7lumu2,RECV_TOTAL_EPR_FINAL,s2r7lumu2,,0.06116600000041217,,45:33.236451,45:33.175285
s2r7lumu2,RECV_TOTAL,s2r7lumu2,,0.06975499999998647,,45:33.282613,45:33.212858
s2r7lumu2,SOCKET_AFTER_RECV_EPR,s2r7lumu2,45:33.285338,,,,
s2r7lumu2,SOCKET_AFTER_SEND_RECV_EPR,s2r7lumu2,45:33.291910,,,,
None,RECEIVING,None,,0.011185000000068612,31:59.602902,,31:59.591717
hd8k01rtr,ORDER_RECEIVE,hd8k01rtr,,,,,32:03.729116
dcfx5ao2t,ORDER_RECEIVE,dcfx5ao2t,,,,,32:03.729241
hd8k01rtr,ORDER_RECV_STARTING,hd8k01rtr,,,,,32:03.731145
hd8k01rtr,CreateEPR_backend,hd8k01rtr,,0.012841,45:38.141698,,45:38.128857
hd8k01rtr,CreateEPR_notify,hd8k01rtr,,0.000421,45:38.142265,,45:38.141844
dcfx5ao2t,CreateEPR_backend,dcfx5ao2t,,0.013818,45:38.142245,,45:38.128427
hd8k01rtr,SENDING,hd8k01rtr,,,,,32:03.748876
hd8k01rtr,CreateEPR_total,hd8k01rtr,,0.013664,45:38.142372,,45:38.128708
dcfx5ao2t,CreateEPR_notify,dcfx5ao2t,,0.000291,45:38.142675,,45:38.142384
dcfx5ao2t,CreateEPR_total,dcfx5ao2t,,0.014347,45:38.142740,,45:38.128393
dcfx5ao2t,SENDING,dcfx5ao2t,,,,,32:03.749454
hd8k01rtr,ORDER_RECV_EXECUTING_AFTER_FOUND,hd8k01rtr,,,,,32:03.750311
hd8k01rtr,SOCKET_BEFORE_RECV_EPR,hd8k01rtr,45:38.148672,,,,
hd8k01rtr,RECV_ENTER,hd8k01rtr,45:38.148773,,,,
hd8k01rtr,RECV_EPR_START,hd8k01rtr,45:38.148771,,,,
hd8k01rtr,ReceiveEPR,hd8k01rtr,,0.001205,45:38.149976,,45:38.148771
hd8k01rtr,RECV_EPR_START_BEFORE_CALCS,hd8k01rtr,45:38.150063,,,,
hd8k01rtr,RECV_BEFORE_MONITOR,hd8k01rtr,45:38.150096,,,,
hd8k01rtr,RECV_BEFORE_UPDATE,hd8k01rtr,45:38.150400,,,,
hd8k01rtr,RECV_BEFORE_NOTIFY,hd8k01rtr,45:38.150508,,,,
hd8k01rtr,EPR_TOTAL,hd8k01rtr,45:38.150546,,,,
hd8k01rtr,RECV_TOTAL_no_plots,hd8k01rtr,,0.006849999999758438,,45:38.155621,45:38.148771
hd8k01rtr,RECV_TOTAL_EPR_FINAL,hd8k01rtr,,0.008241999999881955,,45:38.150084,45:38.141842
hd8k01rtr,RECV_TOTAL,hd8k01rtr,,0.007419999999910942,,45:38.156191,45:38.148771
hd8k01rtr,SOCKET_AFTER_RECV_EPR,hd8k01rtr,45:38.158034,,,,
hd8k01rtr,SOCKET_AFTER_SEND_RECV_EPR,hd8k01rtr,45:38.158392,,,,
dcfx5ao2t,ORDER_RECV_STARTING,dcfx5ao2t,,,,,32:03.766385
dcfx5ao2t,ORDER_RECV_EXECUTING_AFTER_FOUND,dcfx5ao2t,,,,,32:03.766777
dcfx5ao2t,SOCKET_BEFORE_RECV_EPR,dcfx5ao2t,45:38.173739,,,,
dcfx5ao2t,RECV_ENTER,dcfx5ao2t,45:38.176191,,,,
dcfx5ao2t,RECV_EPR_START,dcfx5ao2t,45:38.176181,,,,
dcfx5ao2t,ReceiveEPR,dcfx5ao2t,,0.011075,45:38.187256,,45:38.176181
dcfx5ao2t,RECV_EPR_START_BEFORE_CALCS,dcfx5ao2t,45:38.212984,,,,
dcfx5ao2t,RECV_BEFORE_MONITOR,dcfx5ao2t,45:38.219758,,,,
dcfx5ao2t,RECV_BEFORE_UPDATE,dcfx5ao2t,45:38.220379,,,,
dcfx5ao2t,RECV_BEFORE_NOTIFY,dcfx5ao2t,45:38.220689,,,,
dcfx5ao2t,EPR_TOTAL,dcfx5ao2t,45:38.220735,,,,
dcfx5ao2t,RECV_TOTAL_no_plots,dcfx5ao2t,,0.05224900000030175,,45:38.228430,45:38.176181
dcfx5ao2t,RECV_TOTAL_EPR_FINAL,dcfx5ao2t,,0.07736200000044846,,45:38.219742,45:38.142380
dcfx5ao2t,RECV_TOTAL,dcfx5ao2t,,0.061806000000160566,,45:38.237987,45:38.176181
dcfx5ao2t,SOCKET_AFTER_RECV_EPR,dcfx5ao2t,45:38.244273,,,,
dcfx5ao2t,SOCKET_AFTER_SEND_RECV_EPR,dcfx5ao2t,45:38.248573,,,,
x6hz86a4g,ORDER_RECEIVE,x6hz86a4g,,,,,32:08.815398
