ID,event,id,t,t_diff,t_end,t_end_recv,t_start
vp6j9d9x6,ORDER_RECEIVE,vp6j9d9x6,,,,,149005.356403
gf6243ge2,ORDER_RECEIVE,gf6243ge2,,,,,149005.356493
vp6j9d9x6,ORDER_RECV_STARTING,vp6j9d9x6,,,,,149005.357822
gf6243ge2,ORDER_RECV_STARTING,gf6243ge2,,,,,149005.358889
vp6j9d9x6,CreateEPR_backend,vp6j9d9x6,,0.009078,26.459265,,26.450187
vp6j9d9x6,CreateEPR_notify,vp6j9d9x6,,0.001514,26.460976,,26.459462
vp6j9d9x6,SENDING,vp6j9d9x6,,,,,149006.461263
vp6j9d9x6,CreateEPR_total,vp6j9d9x6,,0.011268,26.461415,,26.450147
vp6j9d9x6,ORDER_RECV_EXECUTING_AFTER_FOUND,vp6j9d9x6,,,,,149006.463248
gf6243ge2,CreateEPR_backend,gf6243ge2,,0.01432,26.479456,,26.465136
gf6243ge2,CreateEPR_notify,gf6243ge2,,0.000816,26.480384,,26.479568
gf6243ge2,CreateEPR_total,gf6243ge2,,0.015389,26.480485,,26.465096
gf6243ge2,SENDING,gf6243ge2,,,,,149006.481166
gf6243ge2,ORDER_RECV_EXECUTING_AFTER_FOUND,gf6243ge2,,,,,149006.48151
vp6j9d9x6,RECV_ENTER,vp6j9d9x6,27.497613,,,,
vp6j9d9x6,RECV_EPR_START,vp6j9d9x6,27.497604,,,,
vp6j9d9x6,ReceiveEPR,vp6j9d9x6,,0.001833,27.499437,,27.497604
vp6j9d9x6,RECV_EPR_START_BEFORE_CALCS,vp6j9d9x6,27.49953,,,,
vp6j9d9x6,RECV_BEFORE_MONITOR,vp6j9d9x6,27.499611,,,,
vp6j9d9x6,RECV_BEFORE_UPDATE,vp6j9d9x6,27.499978,,,,
vp6j9d9x6,RECV_BEFORE_NOTIFY,vp6j9d9x6,27.500156,,,,
vp6j9d9x6,EPR_TOTAL,vp6j9d9x6,27.500323,,,,
NONE,SOCKET_ACCEPT,NONE,27.501603,,,,
NONE,SOCKET_HANDLER_START,NONE,27.502117,,,,
NONE,SOCKET_RECV_DONE,NONE,27.50235,,,,
vp6j9d9x6,RECV_TOTAL_no_plots,vp6j9d9x6,,0.013906000000002194,,27.51151,27.497604
vp6j9d9x6,RECV_TOTAL_EPR_FINAL,vp6j9d9x6,,1.040113999999999,,27.499568,26.459454
vp6j9d9x6,RECV_TOTAL,vp6j9d9x6,,0.014609000000000094,,27.512213,27.497604
gf6243ge2,SOCKET_BEFORE_RECV_EPR,gf6243ge2,27.546584,,,,
gf6243ge2,RECV_ENTER,gf6243ge2,27.55427,,,,
gf6243ge2,RECV_EPR_START,gf6243ge2,27.554261,,,,
gf6243ge2,ReceiveEPR,gf6243ge2,,0.091739,27.646,,27.554261
gf6243ge2,RECV_EPR_START_BEFORE_CALCS,gf6243ge2,27.646336,,,,
gf6243ge2,RECV_BEFORE_MONITOR,gf6243ge2,27.646512,,,,
gf6243ge2,RECV_BEFORE_UPDATE,gf6243ge2,27.647004,,,,
gf6243ge2,RECV_BEFORE_NOTIFY,gf6243ge2,27.647346,,,,
gf6243ge2,EPR_TOTAL,gf6243ge2,27.647625,,,,
gf6243ge2,RECV_TOTAL_no_plots,gf6243ge2,,0.14764999999999873,,27.701911,27.554261
gf6243ge2,RECV_TOTAL_EPR_FINAL,gf6243ge2,,1.1668589999999988,,27.646424,26.479565
gf6243ge2,RECV_TOTAL,gf6243ge2,,0.2123039999999996,,27.766565,27.554261
gf6243ge2,SOCKET_AFTER_RECV_EPR,gf6243ge2,27.785548,,,,
gf6243ge2,SOCKET_AFTER_SEND_RECV_EPR,gf6243ge2,27.82751,,,,
oqdpgtcji,ORDER_RECEIVE,oqdpgtcji,,,,,149012.387933
ihqcyp8im,ORDER_RECEIVE,ihqcyp8im,,,,,149012.388166
oqdpgtcji,ORDER_RECV_STARTING,oqdpgtcji,,,,,149012.389572
ihqcyp8im,ORDER_RECV_STARTING,ihqcyp8im,,,,,149012.391035
oqdpgtcji,CreateEPR_backend,oqdpgtcji,,0.012484,32.422834,,32.41035
ihqcyp8im,CreateEPR_backend,ihqcyp8im,,0.012245,32.423134,,32.410889
oqdpgtcji,CreateEPR_notify,oqdpgtcji,,0.000387,32.423443,,32.423056
oqdpgtcji,SENDING,oqdpgtcji,,,,,149012.423546
oqdpgtcji,CreateEPR_total,oqdpgtcji,,0.013383,32.423601,,32.410218
ihqcyp8im,CreateEPR_notify,ihqcyp8im,,0.000365,32.423714,,32.423349
ihqcyp8im,CreateEPR_total,ihqcyp8im,,0.013008,32.423845,,32.410837
ihqcyp8im,SENDING,ihqcyp8im,,,,,149012.42391
oqdpgtcji,ORDER_RECV_EXECUTING_AFTER_FOUND,oqdpgtcji,,,,,149012.424671
ihqcyp8im,ORDER_RECV_EXECUTING_AFTER_FOUND,ihqcyp8im,,,,,149012.424851
oqdpgtcji,SOCKET_BEFORE_RECV_EPR,oqdpgtcji,32.44451,,,,
ihqcyp8im,SOCKET_BEFORE_RECV_EPR,ihqcyp8im,32.448854,,,,
ihqcyp8im,RECV_ENTER,ihqcyp8im,32.449314,,,,
ihqcyp8im,RECV_EPR_START,ihqcyp8im,32.449302,,,,
oqdpgtcji,RECV_ENTER,oqdpgtcji,32.449102,,,,
oqdpgtcji,RECV_EPR_START,oqdpgtcji,32.449092,,,,
ihqcyp8im,ReceiveEPR,ihqcyp8im,,0.003304,32.452606,,32.449302
ihqcyp8im,RECV_EPR_START_BEFORE_CALCS,ihqcyp8im,32.452992,,,,
