event,id,t,t_diff,t_end,t_end_recv,t_start
RECV_TOTAL_no_plots,5fcwzj7js,,0.010051999999859618,,17:41.871125,17:41.861073
SOCKET_HANDLER_START,NONE,17:41.871507,,,,
SOCKET_RECV_DONE,NONE,17:41.871817,,,,
SOCKET_RECV_DONE,NONE,17:41.871762,,,,
SOCKET_ACCEPT,NONE,17:41.874294,,,,
SOCKET_ACCEPT,NONE,17:41.874838,,,,
SOCKET_HANDLER_START,NONE,17:41.874614,,,,
SOCKET_HANDLER_START,NONE,17:41.875145,,,,
SOCKET_RECV_DONE,NONE,17:41.875349,,,,
SOCKET_RECV_DONE,NONE,17:41.876618,,,,
CreateEPR_backend,5fcwzj7js,,0.024506,17:41.903079,,17:41.878573
CreateEPR_notify,5fcwzj7js,,0.000389,17:41.903678,,17:41.903289
CreateEPR_total,5fcwzj7js,,0.025247,17:41.903802,,17:41.878555
CreateEPR_backend,iytex73a8,,0.032072,17:41.908114,,17:41.876042
CreateEPR_notify,iytex73a8,,0.000097,17:41.908325,,17:41.908228
CreateEPR_total,iytex73a8,,0.032382,17:41.908370,,17:41.875988
RECV_TOTAL,5fcwzj7js,,0.1939990000000762,,17:42.055072,17:41.861073
SOCKET_AFTER_RECV_EPR,5fcwzj7js,17:42.055217,,,,
SOCKET_AFTER_SEND_RECV_EPR,5fcwzj7js,17:42.055316,,,,
ORDER_RECV_EXECUTING,iytex73a8,,,,,32:26.907341
SOCKET_ACCEPT,NONE,17:42.056952,,,,
SOCKET_HANDLER_START,NONE,17:42.057249,,,,
SOCKET_ACCEPT,NONE,17:42.057408,,,,
SOCKET_RECV_DONE,NONE,17:42.057648,,,,
SOCKET_HANDLER_START,NONE,17:42.057762,,,,
SOCKET_RECV_DONE,NONE,17:42.058132,,,,
SOCKET_BEFORE_RECV_EPR,iytex73a8,17:42.060683,,,,
RECV_ENTER,iytex73a8,17:42.060753,,,,
RECV_EPR_START,iytex73a8,,,,,17:42.060751
ReceiveEPR,iytex73a8,,0.001339,17:42.062090,,17:42.060751
RECV_BEFORE_MONITOR,iytex73a8,17:42.062164,,,,
RECV_BEFORE_UPDATE,iytex73a8,17:42.062305,,,,
RECV_BEFORE_NOTIFY,iytex73a8,17:42.062372,,,,
SOCKET_ACCEPT,NONE,17:42.062657,,,,
SOCKET_HANDLER_START,NONE,17:42.062872,,,,
SOCKET_RECV_DONE,NONE,17:42.062976,,,,
RECV_TOTAL_no_plots,iytex73a8,,0.004726000000118802,,17:42.065477,17:42.060751
RECV_TOTAL,iytex73a8,,0.18062099999997372,,17:42.241372,17:42.060751
SOCKET_AFTER_RECV_EPR,iytex73a8,17:42.241473,,,,
SOCKET_AFTER_SEND_RECV_EPR,iytex73a8,17:42.241571,,,,
SOCKET_ACCEPT,NONE,17:45.332390,,,,
SOCKET_HANDLER_START,NONE,17:45.332782,,,,
SOCKET_RECV_DONE,NONE,17:45.332847,,,,
SOCKET_ACCEPT,NONE,17:45.333006,,,,
SOCKET_ACCEPT,NONE,17:45.333077,,,,
SOCKET_HANDLER_START,NONE,17:45.333271,,,,
SOCKET_RECV_DONE,NONE,17:45.333373,,,,
SOCKET_HANDLER_START,NONE,17:45.333487,,,,
SOCKET_ACCEPT,NONE,17:45.333661,,,,
SOCKET_HANDLER_START,NONE,17:45.334106,,,,
SOCKET_RECV_DONE,NONE,17:45.334049,,,,
SOCKET_RECV_DONE,NONE,17:45.334491,,,,
CreateEPR_backend,27ls81spj,,0.008078,17:45.344403,,17:45.336325
CreateEPR_notify,27ls81spj,,0.000385,17:45.344985,,17:45.344600
CreateEPR_total,27ls81spj,,0.008786,17:45.345094,,17:45.336308
ORDER_RECV_EXECUTING,27ls81spj,,,,,32:30.196350
SOCKET_ACCEPT,NONE,17:45.345976,,,,
CreateEPR_backend,24x1lq0it,,0.007611,17:45.345945,,17:45.338334
SOCKET_HANDLER_START,NONE,17:45.346208,,,,
SOCKET_RECV_DONE,NONE,17:45.346267,,,,
CreateEPR_notify,24x1lq0it,,0.000193,17:45.346257,,17:45.346064
CreateEPR_total,24x1lq0it,,0.008216,17:45.346322,,17:45.338106
SOCKET_ACCEPT,NONE,17:45.346393,,,,
SOCKET_HANDLER_START,NONE,17:45.346608,,,,
SOCKET_RECV_DONE,NONE,17:45.346731,,,,
SOCKET_BEFORE_RECV_EPR,27ls81spj,17:45.351896,,,,
RECV_ENTER,27ls81spj,17:45.352140,,,,
RECV_EPR_START,27ls81spj,,,,,17:45.352135
ReceiveEPR,27ls81spj,,0.003037,17:45.355172,,17:45.352135
RECV_BEFORE_MONITOR,27ls81spj,17:45.355328,,,,
