ID,event,id,t,t_diff,t_end,t_end_recv,t_start
2.0,ORDER_RECEIVE,qdcpj2cbw,,,,,31.0
2.0,ORDER_RECV_STARTING,qdcpj2cbw,,,,,31.0
2.0,CreateEPR_backend,qdcpj2cbw,,0.010021,44.0,,44.0
2.0,CreateEPR_notify,qdcpj2cbw,,0.002217,44.0,,44.0
2.0,SENDING,qdcpj2cbw,,,,,31.0
2.0,CreateEPR_total,qdcpj2cbw,,0.012612,44.0,,44.0
2.0,ORDER_RECV_EXECUTING_AFTER_FOUND,qdcpj2cbw,,,,,31.0
2.0,RECV_ENTER,qdcpj2cbw,44.0,,,,
2.0,RECV_EPR_START,qdcpj2cbw,,,,,44.0
2.0,ReceiveEPR,qdcpj2cbw,,0.002223,44.0,,44.0
2.0,RECV_BEFORE_MONITOR,qdcpj2cbw,44.0,,,,
2.0,RECV_BEFORE_UPDATE,qdcpj2cbw,44.0,,,,
2.0,RECV_BEFORE_NOTIFY,qdcpj2cbw,44.0,,,,
NONE,SOCKET_ACCEPT,NONE,44.0,,,,
NONE,SOCKET_HANDLER_START,NONE,44.0,,,,
NONE,SOCKET_RECV_DONE,NONE,44.0,,,,
2.0,RECV_TOTAL_no_plots,qdcpj2cbw,,0.011473999999907392,,44.0,44.0
2.0,RECV_TOTAL_EPR_FINAL,qdcpj2cbw,,1.2575600000000122,,44.0,44.0
2.0,RECV_TOTAL,qdcpj2cbw,,0.012559999999666616,,44.0,44.0
None,RECEIVING,None,,0.009720999999899504,31.0,,31.0
8.0,ORDER_RECEIVE,kg8ivaisc,,,,,31.0
8.0,ORDER_RECV_STARTING,kg8ivaisc,,,,,31.0
8.0,CreateEPR_backend,kg8ivaisc,,0.015651,45.0,,45.0
8.0,CreateEPR_notify,kg8ivaisc,,0.0002,45.0,,45.0
8.0,CreateEPR_total,kg8ivaisc,,0.01615,45.0,,45.0
8.0,SENDING,kg8ivaisc,,,,,31.0
8.0,ORDER_RECV_EXECUTING_AFTER_FOUND,kg8ivaisc,,,,,31.0
8.0,SOCKET_BEFORE_RECV_EPR,kg8ivaisc,45.0,,,,
8.0,RECV_ENTER,kg8ivaisc,45.0,,,,
8.0,RECV_EPR_START,kg8ivaisc,,,,,45.0
8.0,ReceiveEPR,kg8ivaisc,,0.001919,45.0,,45.0
8.0,RECV_BEFORE_MONITOR,kg8ivaisc,45.0,,,,
8.0,RECV_BEFORE_UPDATE,kg8ivaisc,45.0,,,,
8.0,RECV_BEFORE_NOTIFY,kg8ivaisc,45.0,,,,
8.0,RECV_TOTAL_no_plots,kg8ivaisc,,0.007321000000047206,,45.0,45.0
8.0,RECV_TOTAL_EPR_FINAL,kg8ivaisc,,0.008426999999755935,,45.0,45.0
8.0,RECV_TOTAL,kg8ivaisc,,0.00793100000009872,,45.0,45.0
8.0,SOCKET_AFTER_RECV_EPR,kg8ivaisc,45.0,,,,
8.0,SOCKET_AFTER_SEND_RECV_EPR,kg8ivaisc,45.0,,,,
92.0,ORDER_RECEIVE,92nqdjvg4,,,,,31.0
89.0,ORDER_RECEIVE,89ifdfiml,,,,,31.0
92.0,ORDER_RECV_STARTING,92nqdjvg4,,,,,31.0
92.0,CreateEPR_backend,92nqdjvg4,,0.01908,45.0,,45.0
92.0,CreateEPR_notify,92nqdjvg4,,0.00026,45.0,,45.0
92.0,CreateEPR_total,92nqdjvg4,,0.019788,45.0,,45.0
92.0,SENDING,92nqdjvg4,,,,,31.0
92.0,ORDER_RECV_EXECUTING_AFTER_FOUND,92nqdjvg4,,,,,31.0
92.0,SOCKET_BEFORE_RECV_EPR,92nqdjvg4,45.0,,,,
92.0,RECV_ENTER,92nqdjvg4,45.0,,,,
92.0,RECV_EPR_START,92nqdjvg4,,,,,45.0
92.0,ReceiveEPR,92nqdjvg4,,0.002241,45.0,,45.0
92.0,RECV_BEFORE_MONITOR,92nqdjvg4,45.0,,,,
92.0,RECV_BEFORE_UPDATE,92nqdjvg4,45.0,,,,
92.0,RECV_BEFORE_NOTIFY,92nqdjvg4,45.0,,,,
92.0,RECV_TOTAL_no_plots,92nqdjvg4,,0.008762999999817112,,45.0,45.0
92.0,RECV_TOTAL_EPR_FINAL,92nqdjvg4,,0.009896000000026106,,45.0,45.0
92.0,RECV_TOTAL,92nqdjvg4,,0.009305999999924097,,45.0,45.0
92.0,SOCKET_AFTER_RECV_EPR,92nqdjvg4,45.0,,,,
92.0,SOCKET_AFTER_SEND_RECV_EPR,92nqdjvg4,45.0,,,,
89.0,ORDER_RECV_STARTING,89ifdfiml,,,,,31.0
89.0,CreateEPR_backend,89ifdfiml,,0.009792,45.0,,45.0
89.0,CreateEPR_notify,89ifdfiml,,0.000891,45.0,,45.0
89.0,CreateEPR_total,89ifdfiml,,0.011184,45.0,,45.0
89.0,SENDING,89ifdfiml,,,,,31.0
89.0,ORDER_RECV_EXECUTING_AFTER_FOUND,89ifdfiml,,,,,31.0
89.0,SOCKET_BEFORE_RECV_EPR,89ifdfiml,45.0,,,,
89.0,RECV_ENTER,89ifdfiml,45.0,,,,
89.0,RECV_EPR_START,89ifdfiml,,,,,45.0
89.0,ReceiveEPR,89ifdfiml,,0.001959,45.0,,45.0
89.0,RECV_BEFORE_MONITOR,89ifdfiml,45.0,,,,
89.0,RECV_BEFORE_UPDATE,89ifdfiml,45.0,,,,
89.0,RECV_BEFORE_NOTIFY,89ifdfiml,45.0,,,,
89.0,RECV_TOTAL_no_plots,89ifdfiml,,0.015733000000182074,,45.0,45.0
89.0,RECV_TOTAL_EPR_FINAL,89ifdfiml,,0.011243999999805965,,45.0,45.0
89.0,RECV_TOTAL,89ifdfiml,,0.016269000000193046,,45.0,45.0
89.0,SOCKET_AFTER_RECV_EPR,89ifdfiml,45.0,,,,
89.0,SOCKET_AFTER_SEND_RECV_EPR,89ifdfiml,45.0,,,,
21.0,ORDER_RECEIVE,21us5aemo,,,,,31.0
5.0,ORDER_RECEIVE,5m7a9vna3,,,,,31.0
21.0,ORDER_RECV_STARTING,21us5aemo,,,,,31.0
21.0,CreateEPR_backend,21us5aemo,,0.015795,45.0,,45.0
