event,id,t,t_diff,t_end,t_end_recv,t_start
CreateEPR_backend,6esem0l99,,0.008744,46:47.656593,,46:47.647849
CreateEPR_notify,6esem0l99,,0.000562,46:47.657504,,46:47.656942
CreateEPR_total,6esem0l99,,0.009757,46:47.657571,,46:47.647814
ORDER_RECV_EXECUTING,6esem0l99,,,,,46:47.660502
CreateEPR_backend,41ap5j5ot,,0.007906,46:47.729450,,46:47.721544
CreateEPR_notify,41ap5j5ot,,0.000561,46:47.730139,,46:47.729578
CreateEPR_total,41ap5j5ot,,0.008701,46:47.730207,,46:47.721506
RECV_ENTER,6esem0l99,46:48.309103,,,,
RECV_EPR_START,6esem0l99,,,,,46:48.309089
ReceiveEPR,6esem0l99,,0.001600,46:48.310689,,46:48.309089
RECV_BEFORE_MONITOR,6esem0l99,46:48.310781,,,,
RECV_BEFORE_UPDATE,6esem0l99,46:48.311146,,,,
RECV_BEFORE_NOTIFY,6esem0l99,46:48.311293,,,,
SOCKET_ACCEPT,NONE,46:48.313265,,,,
SOCKET_HANDLER_START,NONE,46:48.314061,,,,
SOCKET_RECV_DONE,NONE,46:48.314358,,,,
RECV_TOTAL_no_plots,6esem0l99,,0.009359000000131346,,46:48.318448,46:48.309089
RECV_TOTAL,6esem0l99,,0.014717000000018743,,46:48.323806,46:48.309089
ORDER_RECV_EXECUTING,41ap5j5ot,,,,,46:48.439461
SOCKET_ACCEPT,NONE,46:48.439854,,,,
SOCKET_HANDLER_START,NONE,46:48.440292,,,,
SOCKET_ACCEPT,NONE,46:48.440601,,,,
SOCKET_RECV_DONE,NONE,46:48.440969,,,,
SOCKET_HANDLER_START,NONE,46:48.441533,,,,
SOCKET_RECV_DONE,NONE,46:48.442749,,,,
SOCKET_BEFORE_RECV_EPR,41ap5j5ot,46:48.448897,,,,
RECV_ENTER,41ap5j5ot,46:48.449117,,,,
RECV_EPR_START,41ap5j5ot,,,,,46:48.449082
ReceiveEPR,41ap5j5ot,,0.003437,46:48.452519,,46:48.449082
RECV_BEFORE_MONITOR,41ap5j5ot,46:48.456012,,,,
RECV_BEFORE_UPDATE,41ap5j5ot,46:48.458079,,,,
RECV_BEFORE_NOTIFY,41ap5j5ot,46:48.465926,,,,
SOCKET_ACCEPT,NONE,46:48.466658,,,,
SOCKET_HANDLER_START,NONE,46:48.467045,,,,
SOCKET_RECV_DONE,NONE,46:48.467329,,,,
RECV_TOTAL_no_plots,41ap5j5ot,,0.023938999999700172,,46:48.473021,46:48.449082
RECV_TOTAL,41ap5j5ot,,0.03205600000001141,,46:48.481138,46:48.449082
SOCKET_AFTER_RECV_EPR,41ap5j5ot,46:48.491252,,,,
SOCKET_AFTER_SEND_RECV_EPR,41ap5j5ot,46:48.499437,,,,
SOCKET_ACCEPT,NONE,46:53.938706,,,,
SOCKET_ACCEPT,NONE,46:53.939278,,,,
SOCKET_HANDLER_START,NONE,46:53.939551,,,,
SOCKET_RECV_DONE,NONE,46:53.939921,,,,
SOCKET_HANDLER_START,NONE,46:53.939173,,,,
SOCKET_RECV_DONE,NONE,46:53.941026,,,,
CreateEPR_backend,ser1r9gh8,,0.007109,46:53.950273,,46:53.943164
CreateEPR_notify,ser1r9gh8,,0.000111,46:53.950511,,46:53.950400
CreateEPR_total,ser1r9gh8,,0.007446,46:53.950558,,46:53.943112
SOCKET_ACCEPT,NONE,46:53.950718,,,,
SOCKET_ACCEPT,NONE,46:53.951257,,,,
SOCKET_HANDLER_START,NONE,46:53.951157,,,,
SOCKET_HANDLER_START,NONE,46:53.951579,,,,
ORDER_RECV_EXECUTING,ser1r9gh8,,,,,46:53.952193
SOCKET_RECV_DONE,NONE,46:53.952221,,,,
SOCKET_ACCEPT,NONE,46:53.952674,,,,
SOCKET_HANDLER_START,NONE,46:53.953025,,,,
SOCKET_RECV_DONE,NONE,46:53.953356,,,,
SOCKET_ACCEPT,NONE,46:53.953120,,,,
SOCKET_RECV_DONE,NONE,46:53.953721,,,,
SOCKET_HANDLER_START,NONE,46:53.953789,,,,
SOCKET_RECV_DONE,NONE,46:53.954030,,,,
SOCKET_BEFORE_RECV_EPR,ser1r9gh8,46:53.957786,,,,
RECV_ENTER,ser1r9gh8,46:53.957914,,,,
RECV_EPR_START,ser1r9gh8,,,,,46:53.957907
ReceiveEPR,ser1r9gh8,,0.001453,46:53.959360,,46:53.957907
RECV_BEFORE_MONITOR,ser1r9gh8,46:53.959493,,,,
RECV_BEFORE_UPDATE,ser1r9gh8,46:53.959798,,,,
RECV_BEFORE_NOTIFY,ser1r9gh8,46:53.960162,,,,
SOCKET_ACCEPT,NONE,46:53.961061,,,,
SOCKET_HANDLER_START,NONE,46:53.961421,,,,
SOCKET_RECV_DONE,NONE,46:53.961622,,,,
CreateEPR_backend,cogl7exxb,,0.008640,46:53.965187,,46:53.956547
RECV_TOTAL_no_plots,ser1r9gh8,,0.007595000000037544,,46:53.965502,46:53.957907
CreateEPR_notify,cogl7exxb,,0.000466,46:53.965867,,46:53.965401
CreateEPR_total,cogl7exxb,,0.009589,46:53.965921,,46:53.956332
RECV_TOTAL,ser1r9gh8,,0.009118999999827793,,46:53.967026,46:53.957907
SOCKET_AFTER_RECV_EPR,ser1r9gh8,46:53.967195,,,,
SOCKET_AFTER_SEND_RECV_EPR,ser1r9gh8,46:53.967298,,,,
ORDER_RECV_EXECUTING,cogl7exxb,,,,,46:55.420590
SOCKET_ACCEPT,NONE,46:55.421003,,,,
SOCKET_HANDLER_START,NONE,46:55.421283,,,,
SOCKET_ACCEPT,NONE,46:55.421431,,,,
SOCKET_RECV_DONE,NONE,46:55.421382,,,,
SOCKET_HANDLER_START,NONE,46:55.421597,,,,
SOCKET_RECV_DONE,NONE,46:55.421740,,,,
SOCKET_BEFORE_RECV_EPR,cogl7exxb,46:55.424214,,,,
RECV_ENTER,cogl7exxb,46:55.424280,,,,
RECV_EPR_START,cogl7exxb,,,,,46:55.424276
ReceiveEPR,cogl7exxb,,0.001042,46:55.425318,,46:55.424276
RECV_BEFORE_MONITOR,cogl7exxb,46:55.425385,,,,
RECV_BEFORE_UPDATE,cogl7exxb,46:55.425512,,,,
RECV_BEFORE_NOTIFY,cogl7exxb,46:55.425629,,,,
SOCKET_ACCEPT,NONE,46:55.426128,,,,
SOCKET_HANDLER_START,NONE,46:55.426626,,,,
SOCKET_RECV_DONE,NONE,46:55.426687,,,,
RECV_TOTAL_no_plots,cogl7exxb,,0.005445999999665219,,46:55.429722,46:55.424276
