ID,event,id,t,t_diff,t_end,t_end_recv,t_start
63tm8r3t4,ORDER_RECEIVE,63tm8r3t4,,,,,18:55.270297
bsaemqwmp,ORDER_RECEIVE,bsaemqwmp,,,,,18:55.270203
bsaemqwmp,ORDER_RECV_STARTING,bsaemqwmp,,,,,18:55.272199
63tm8r3t4,CreateEPR_backend,63tm8r3t4,,0.009949,27:25.220572,,27:25.210623
63tm8r3t4,CreateEPR_notify,63tm8r3t4,,0.000835,27:25.221551,,27:25.220716
63tm8r3t4,CreateEPR_total,63tm8r3t4,,0.011067,27:25.221652,,27:25.210585
63tm8r3t4,SENDING,63tm8r3t4,,,,,18:56.134803
bsaemqwmp,CreateEPR_backend,bsaemqwmp,,0.008944,27:25.240747,,27:25.231803
bsaemqwmp,CreateEPR_notify,bsaemqwmp,,0.00096,27:25.241892,,27:25.240932
bsaemqwmp,CreateEPR_total,bsaemqwmp,,0.010731,27:25.242042,,27:25.231311
bsaemqwmp,SENDING,bsaemqwmp,,,,,18:56.155280
bsaemqwmp,ORDER_RECV_EXECUTING_AFTER_FOUND,bsaemqwmp,,,,,18:56.155852
63tm8r3t4,ORDER_RECV_STARTING,63tm8r3t4,,,,,18:56.158278
63tm8r3t4,ORDER_RECV_EXECUTING_AFTER_FOUND,63tm8r3t4,,,,,18:56.158547
bsaemqwmp,RECV_ENTER,bsaemqwmp,27:25.995861,,,,
bsaemqwmp,RECV_EPR_START,bsaemqwmp,27:25.995854,,,,
bsaemqwmp,ReceiveEPR,bsaemqwmp,,0.00179,27:25.997644,,27:25.995854
bsaemqwmp,RECV_EPR_START_BEFORE_CALCS,bsaemqwmp,27:25.997740,,,,
bsaemqwmp,RECV_BEFORE_MONITOR,bsaemqwmp,27:25.997825,,,,
bsaemqwmp,RECV_BEFORE_UPDATE,bsaemqwmp,27:25.998275,,,,
bsaemqwmp,RECV_BEFORE_NOTIFY,bsaemqwmp,27:25.998665,,,,
bsaemqwmp,EPR_TOTAL,bsaemqwmp,27:25.998782,,,,
NONE,SOCKET_ACCEPT,NONE,27:25.999844,,,,
NONE,SOCKET_HANDLER_START,NONE,27:26.000230,,,,
NONE,SOCKET_RECV_DONE,NONE,27:26.000475,,,,
bsaemqwmp,RECV_TOTAL_no_plots,bsaemqwmp,,0.012298999999984517,,27:26.008153,27:25.995854
bsaemqwmp,RECV_TOTAL_EPR_FINAL,bsaemqwmp,,0.7568579999999656,,27:25.997781,27:25.240923
bsaemqwmp,RECV_TOTAL,bsaemqwmp,,0.01506399999993846,,27:26.010918,27:25.995854
