ID,event,id,t,t_diff,t_end,t_end_recv,t_start
w1ctrmwph,ORDER_RECEIVE,w1ctrmwph,,,,,150915.018101
l4gskn6sj,ORDER_RECEIVE,l4gskn6sj,,,,,150915.017928
w1ctrmwph,CreateEPR_backend,w1ctrmwph,,0.008656,15.700085,,15.691429
w1ctrmwph,CreateEPR_notify,w1ctrmwph,,0.000756,15.700955,,15.700199
w1ctrmwph,CreateEPR_total,w1ctrmwph,,0.009641,15.701044,,15.691403
w1ctrmwph,SENDING,w1ctrmwph,,,,,150915.702189
w1ctrmwph,ORDER_RECV_STARTING,w1ctrmwph,,,,,150915.702462
w1ctrmwph,ORDER_RECV_EXECUTING_AFTER_FOUND,w1ctrmwph,,,,,150915.702622
l4gskn6sj,CreateEPR_backend,l4gskn6sj,,0.008332,15.71477,,15.706438
l4gskn6sj,CreateEPR_notify,l4gskn6sj,,0.001001,15.723937,,15.722936
l4gskn6sj,CreateEPR_total,l4gskn6sj,,0.017734,15.724077,,15.706343
l4gskn6sj,SENDING,l4gskn6sj,,,,,150915.72484
l4gskn6sj,ORDER_RECV_STARTING,l4gskn6sj,,,,,150915.725292
l4gskn6sj,ORDER_RECV_EXECUTING_AFTER_FOUND,l4gskn6sj,,,,,150915.725488
w1ctrmwph,RECV_ENTER,w1ctrmwph,16.386716,,,,
w1ctrmwph,RECV_EPR_START,w1ctrmwph,16.386707,,,,
w1ctrmwph,ReceiveEPR,w1ctrmwph,,0.001862,16.388569,,16.386707
w1ctrmwph,RECV_EPR_START_BEFORE_CALCS,w1ctrmwph,16.388665,,,,
w1ctrmwph,RECV_BEFORE_MONITOR,w1ctrmwph,16.388746,,,,
w1ctrmwph,RECV_BEFORE_UPDATE,w1ctrmwph,16.389096,,,,
w1ctrmwph,RECV_BEFORE_NOTIFY,w1ctrmwph,16.389249,,,,
w1ctrmwph,EPR_TOTAL,w1ctrmwph,16.389277,,,,
NONE,SOCKET_ACCEPT,NONE,16.390383,,,,
NONE,SOCKET_HANDLER_START,NONE,16.390779,,,,
NONE,SOCKET_RECV_DONE,NONE,16.39099,,,,
w1ctrmwph,RECV_TOTAL_no_plots,w1ctrmwph,,0.012950999999997492,,16.399658,16.386707
w1ctrmwph,RECV_TOTAL_EPR_FINAL,w1ctrmwph,,0.6885080000000006,,16.388704,15.700196
w1ctrmwph,RECV_TOTAL,w1ctrmwph,,0.013647999999999882,,16.400355,16.386707
l4gskn6sj,RECV_ENTER,l4gskn6sj,16.587656,,,,
l4gskn6sj,RECV_EPR_START,l4gskn6sj,16.587648,,,,
l4gskn6sj,ReceiveEPR,l4gskn6sj,,0.025516,16.613164,,16.587648
l4gskn6sj,RECV_EPR_START_BEFORE_CALCS,l4gskn6sj,16.617253,,,,
l4gskn6sj,RECV_BEFORE_MONITOR,l4gskn6sj,16.628407,,,,
l4gskn6sj,RECV_BEFORE_UPDATE,l4gskn6sj,16.675524,,,,
l4gskn6sj,RECV_BEFORE_NOTIFY,l4gskn6sj,16.679696,,,,
l4gskn6sj,EPR_TOTAL,l4gskn6sj,16.680165,,,,
l4gskn6sj,RECV_TOTAL_no_plots,l4gskn6sj,,0.11705299999999852,,16.704701,16.587648
l4gskn6sj,RECV_TOTAL_EPR_FINAL,l4gskn6sj,,0.9054319999999993,,16.628356,15.722924
l4gskn6sj,RECV_TOTAL,l4gskn6sj,,0.1494289999999978,,16.737077,16.587648
None,RECEIVING,None,,0.006672999996226281,150925.828949,,150925.822276
efwbpviuz,ORDER_RECEIVE,efwbpviuz,,,,,150929.43363
gc1n3fn26,ORDER_RECEIVE,gc1n3fn26,,,,,150929.433659
efwbpviuz,CreateEPR_backend,efwbpviuz,,0.008098,29.449279,,29.441181
efwbpviuz,CreateEPR_notify,efwbpviuz,,0.000359,29.449809,,29.44945
efwbpviuz,CreateEPR_total,efwbpviuz,,0.008773,29.449915,,29.441142
efwbpviuz,SENDING,efwbpviuz,,,,,150929.449968
efwbpviuz,ORDER_RECV_STARTING,efwbpviuz,,,,,150929.450391
efwbpviuz,ORDER_RECV_EXECUTING_AFTER_FOUND,efwbpviuz,,,,,150929.45053
gc1n3fn26,CreateEPR_backend,gc1n3fn26,,0.009475,29.451737,,29.442262
gc1n3fn26,CreateEPR_notify,gc1n3fn26,,0.000272,29.452141,,29.451869
gc1n3fn26,CreateEPR_total,gc1n3fn26,,0.010019,29.452258,,29.442239
gc1n3fn26,SENDING,gc1n3fn26,,,,,150929.452348
gc1n3fn26,ORDER_RECV_STARTING,gc1n3fn26,,,,,150929.452774
gc1n3fn26,ORDER_RECV_EXECUTING_AFTER_FOUND,gc1n3fn26,,,,,150929.45301
gc1n3fn26,RECV_ENTER,gc1n3fn26,29.463721,,,,
efwbpviuz,RECV_ENTER,efwbpviuz,29.463265,,,,
efwbpviuz,RECV_EPR_START,efwbpviuz,29.463258,,,,
gc1n3fn26,RECV_EPR_START,gc1n3fn26,29.463715,,,,
efwbpviuz,ReceiveEPR,efwbpviuz,,0.002609,29.465867,,29.463258
efwbpviuz,RECV_EPR_START_BEFORE_CALCS,efwbpviuz,29.465966,,,,
efwbpviuz,RECV_BEFORE_MONITOR,efwbpviuz,29.466057,,,,
efwbpviuz,RECV_BEFORE_UPDATE,efwbpviuz,29.466726,,,,
efwbpviuz,RECV_BEFORE_NOTIFY,efwbpviuz,29.467075,,,,
efwbpviuz,EPR_TOTAL,efwbpviuz,29.467283,,,,
gc1n3fn26,ReceiveEPR,gc1n3fn26,,0.005481,29.469196,,29.463715
gc1n3fn26,RECV_EPR_START_BEFORE_CALCS,gc1n3fn26,29.469303,,,,
gc1n3fn26,RECV_BEFORE_MONITOR,gc1n3fn26,29.469396,,,,
gc1n3fn26,RECV_BEFORE_UPDATE,gc1n3fn26,29.469887,,,,
gc1n3fn26,RECV_BEFORE_NOTIFY,gc1n3fn26,29.470034,,,,
gc1n3fn26,EPR_TOTAL,gc1n3fn26,29.470062,,,,
efwbpviuz,RECV_TOTAL_no_plots,efwbpviuz,,0.012881000000000142,,29.476139,29.463258
efwbpviuz,RECV_TOTAL_EPR_FINAL,efwbpviuz,,0.016569999999997975,,29.466015,29.449445
efwbpviuz,RECV_TOTAL,efwbpviuz,,0.013629999999999143,,29.476888,29.463258
gc1n3fn26,RECV_TOTAL_no_plots,gc1n3fn26,,0.017997999999998626,,29.481713,29.463715
gc1n3fn26,RECV_TOTAL_EPR_FINAL,gc1n3fn26,,0.017490000000002226,,29.469356,29.451866
gc1n3fn26,RECV_TOTAL,gc1n3fn26,,0.020115999999998024,,29.483831,29.463715
e1s56fey9,ORDER_RECEIVE,e1s56fey9,,,,,150932.88883
50i0yo357,ORDER_RECEIVE,50i0yo357,,,,,150932.88889
50i0yo357,CreateEPR_backend,50i0yo357,,0.009156,32.905545,,32.896389
e1s56fey9,CreateEPR_backend,e1s56fey9,,0.008525,32.905577,,32.897052
50i0yo357,CreateEPR_notify,50i0yo357,,0.000356,32.906027,,32.905671
50i0yo357,SENDING,50i0yo357,,,,,150932.906087
50i0yo357,CreateEPR_total,50i0yo357,,0.009836,32.906151,,32.896315
e1s56fey9,SENDING,e1s56fey9,,,,,150932.906163
e1s56fey9,CreateEPR_notify,e1s56fey9,,0.000859,32.906526,,32.905667
e1s56fey9,CreateEPR_total,e1s56fey9,,0.009825,32.906807,,32.896982
e1s56fey9,ORDER_RECV_STARTING,e1s56fey9,,,,,150932.907042
e1s56fey9,ORDER_RECV_EXECUTING_AFTER_FOUND,e1s56fey9,,,,,150932.907133
