event,id,t,t_diff,t_end,t_end_recv,t_start
ORDER_RECV_EXECUTING,1zokoc3za,,,,,54:45.241052
CreateEPR_backend,7q76ktpff,,0.009365,54:45.251333,,54:45.241968
CreateEPR_notify,7q76ktpff,,0.000445,54:45.251911,,54:45.251466
CreateEPR_total,7q76ktpff,,0.010040,54:45.251982,,54:45.241942
ORDER_RECV_EXECUTING,7q76ktpff,,,,,54:45.308182
RECV_ENTER,1zokoc3za,54:45.851845,,,,
RECV_BEFORE_UPDATE,1zokoc3za,54:45.851952,,,,
RECV_BEFORE_NOTIFY,1zokoc3za,54:45.851975,,,,
CreateEPR_backend,hiijwweh4,,0.009407,56:37.700161,,56:37.690754
CreateEPR_notify,hiijwweh4,,0.000571,56:37.700864,,56:37.700293
CreateEPR_total,hiijwweh4,,0.010252,56:37.700953,,56:37.690701
ORDER_RECV_EXECUTING,hiijwweh4,,,,,56:37.702651
CreateEPR_backend,f06jdb8q3,,0.010316,56:37.712851,,56:37.702535
CreateEPR_notify,f06jdb8q3,,0.000600,56:37.713598,,56:37.712998
CreateEPR_total,f06jdb8q3,,0.011173,56:37.713683,,56:37.702510
ORDER_RECV_EXECUTING,f06jdb8q3,,,,,56:38.300650
RECV_ENTER,hiijwweh4,56:38.406275,,,,
RECV_EPR_START,hiijwweh4,,,,,56:38.406261
ReceiveEPR,hiijwweh4,,0.001669,56:38.407930,,56:38.406261
RECV_BEFORE_MONITOR,hiijwweh4,56:38.408037,,,,
RECV_BEFORE_UPDATE,hiijwweh4,56:38.408292,,,,
RECV_BEFORE_NOTIFY,hiijwweh4,56:38.408471,,,,
RECV_TOTAL_no_plots,hiijwweh4,,0.007166999999753898,,56:38.413428,56:38.406261
RECV_TOTAL,hiijwweh4,,0.24102499999980864,,56:38.647286,56:38.406261
RECV_ENTER,f06jdb8q3,56:38.657616,,,,
RECV_EPR_START,f06jdb8q3,,,,,56:38.657603
ReceiveEPR,f06jdb8q3,,0.001680,56:38.659283,,56:38.657603
RECV_BEFORE_MONITOR,f06jdb8q3,56:38.659397,,,,
RECV_BEFORE_UPDATE,f06jdb8q3,56:38.659584,,,,
RECV_BEFORE_NOTIFY,f06jdb8q3,56:38.659792,,,,
RECV_TOTAL_no_plots,f06jdb8q3,,0.007807999999840831,,56:38.665411,56:38.657603
RECV_TOTAL,f06jdb8q3,,0.2352109999997083,,56:38.892814,56:38.657603
CreateEPR_backend,iytr0g5si,,0.008143,56:51.489436,,56:51.481293
CreateEPR_notify,iytr0g5si,,0.000214,56:51.489880,,56:51.489666
CreateEPR_total,iytr0g5si,,0.008809,56:51.489952,,56:51.481143
ORDER_RECV_EXECUTING,iytr0g5si,,,,,56:51.490785
CreateEPR_backend,k2ftiqx1t,,0.008980,56:51.494331,,56:51.485351
CreateEPR_notify,k2ftiqx1t,,0.000136,56:51.494609,,56:51.494473
CreateEPR_total,k2ftiqx1t,,0.009396,56:51.494651,,56:51.485255
RECV_ENTER,iytr0g5si,56:51.496954,,,,
RECV_EPR_START,iytr0g5si,,,,,56:51.496928
ReceiveEPR,iytr0g5si,,0.001717,56:51.498645,,56:51.496928
RECV_BEFORE_MONITOR,iytr0g5si,56:51.498821,,,,
RECV_BEFORE_UPDATE,iytr0g5si,56:51.499270,,,,
RECV_BEFORE_NOTIFY,iytr0g5si,56:51.499337,,,,
RECV_TOTAL_no_plots,iytr0g5si,,0.007772999999815511,,56:51.504701,56:51.496928
RECV_TOTAL,iytr0g5si,,0.18197800000007192,,56:51.678906,56:51.496928
ORDER_RECV_EXECUTING,k2ftiqx1t,,,,,56:52.321054
RECV_ENTER,k2ftiqx1t,56:52.324114,,,,
RECV_EPR_START,k2ftiqx1t,,,,,56:52.324104
ReceiveEPR,k2ftiqx1t,,0.001167,56:52.325271,,56:52.324104
RECV_BEFORE_MONITOR,k2ftiqx1t,56:52.325359,,,,
RECV_BEFORE_UPDATE,k2ftiqx1t,56:52.325532,,,,
RECV_BEFORE_NOTIFY,k2ftiqx1t,56:52.325601,,,,
