ID,event,id,t,t_diff,t_end,t_end_recv,t_start
8c1fbl0mj,ORDER_RECEIVE,8c1fbl0mj,,,,,155281.982369
i4xap8l7s,ORDER_RECEIVE,i4xap8l7s,,,,,155281.982578
i4xap8l7s,CreateEPR_backend,i4xap8l7s,,0.009695,2.950212,,2.940517
i4xap8l7s,CreateEPR_notify,i4xap8l7s,,0.001469,2.95202,,2.950551
i4xap8l7s,SENDING,i4xap8l7s,,,,,155282.952975
i4xap8l7s,CreateEPR_total,i4xap8l7s,,0.019533,2.960032,,2.940499
8c1fbl0mj,CreateEPR_backend,8c1fbl0mj,,0.010152,2.954834,,2.944682
8c1fbl0mj,CreateEPR_notify,8c1fbl0mj,,0.00095,2.961346,,2.960396
8c1fbl0mj,CreateEPR_total,8c1fbl0mj,,0.016796,2.96144,,2.944644
i4xap8l7s,ORDER_RECV_STARTING,i4xap8l7s,,,,,155282.961932
i4xap8l7s,ORDER_RECV_EXECUTING_AFTER_FOUND,i4xap8l7s,,,,,155282.962304
8c1fbl0mj,SENDING,8c1fbl0mj,,,,,155282.963517
8c1fbl0mj,ORDER_RECV_STARTING,8c1fbl0mj,,,,,155282.965749
8c1fbl0mj,ORDER_RECV_EXECUTING_AFTER_FOUND,8c1fbl0mj,,,,,155282.966349
i4xap8l7s,RECV_ENTER,i4xap8l7s,3.838419,,,,
i4xap8l7s,RECV_EPR_START,i4xap8l7s,3.838412,,,,
i4xap8l7s,ReceiveEPR,i4xap8l7s,,0.001412,3.839824,,3.838412
i4xap8l7s,RECV_EPR_START_BEFORE_CALCS,i4xap8l7s,3.839898,,,,
i4xap8l7s,RECV_BEFORE_MONITOR,i4xap8l7s,3.839932,,,,
i4xap8l7s,RECV_BEFORE_UPDATE,i4xap8l7s,3.840281,,,,
i4xap8l7s,RECV_BEFORE_NOTIFY,i4xap8l7s,3.840403,,,,
i4xap8l7s,EPR_TOTAL,i4xap8l7s,3.840423,,,,
NONE,SOCKET_ACCEPT,NONE,3.841277,,,,
NONE,SOCKET_HANDLER_START,NONE,3.841553,,,,
NONE,SOCKET_RECV_DONE,NONE,3.841632,,,,
i4xap8l7s,RECV_TOTAL_no_plots,i4xap8l7s,,0.007330000000000059,,3.845742,3.838412
i4xap8l7s,RECV_TOTAL_EPR_FINAL,i4xap8l7s,,0.8893740000000001,,3.839919,2.950545
i4xap8l7s,RECV_TOTAL,i4xap8l7s,,0.007870000000000044,,3.846282,3.838412
8c1fbl0mj,RECV_ENTER,8c1fbl0mj,3.925189,,,,
8c1fbl0mj,RECV_EPR_START,8c1fbl0mj,3.925185,,,,
8c1fbl0mj,ReceiveEPR,8c1fbl0mj,,0.0029,3.928085,,3.925185
8c1fbl0mj,RECV_EPR_START_BEFORE_CALCS,8c1fbl0mj,3.928367,,,,
8c1fbl0mj,RECV_BEFORE_MONITOR,8c1fbl0mj,3.928408,,,,
8c1fbl0mj,RECV_BEFORE_UPDATE,8c1fbl0mj,3.929121,,,,
8c1fbl0mj,RECV_BEFORE_NOTIFY,8c1fbl0mj,3.944324,,,,
8c1fbl0mj,EPR_TOTAL,8c1fbl0mj,3.944712,,,,
8c1fbl0mj,RECV_TOTAL_no_plots,8c1fbl0mj,,0.03433099999999989,,3.959516,3.925185
8c1fbl0mj,RECV_TOTAL_EPR_FINAL,8c1fbl0mj,,0.9680110000000002,,3.928396,2.960385
8c1fbl0mj,RECV_TOTAL,8c1fbl0mj,,0.03619899999999987,,3.961384,3.925185
h8wtcfq3u,ORDER_RECEIVE,h8wtcfq3u,,,,,155288.189609
3hx4u3frt,ORDER_RECEIVE,3hx4u3frt,,,,,155288.189792
3hx4u3frt,CreateEPR_backend,3hx4u3frt,,0.008536,8.202946,,8.19441
3hx4u3frt,CreateEPR_notify,3hx4u3frt,,0.000129,8.2032,,8.203071
3hx4u3frt,CreateEPR_total,3hx4u3frt,,0.008855,8.203247,,8.194392
h8wtcfq3u,CreateEPR_backend,h8wtcfq3u,,0.008894,8.203479,,8.194585
3hx4u3frt,SENDING,3hx4u3frt,,,,,155288.203577
h8wtcfq3u,CreateEPR_notify,h8wtcfq3u,,0.000335,8.203978,,8.203643
h8wtcfq3u,SENDING,h8wtcfq3u,,,,,155288.204057
h8wtcfq3u,CreateEPR_total,h8wtcfq3u,,0.00952,8.204087,,8.194567
3hx4u3frt,ORDER_RECV_STARTING,3hx4u3frt,,,,,155288.203951
3hx4u3frt,ORDER_RECV_EXECUTING_AFTER_FOUND,3hx4u3frt,,,,,155288.205026
h8wtcfq3u,ORDER_RECV_STARTING,h8wtcfq3u,,,,,155288.205813
h8wtcfq3u,ORDER_RECV_EXECUTING_AFTER_FOUND,h8wtcfq3u,,,,,155288.206457
3hx4u3frt,RECV_ENTER,3hx4u3frt,8.210404,,,,
3hx4u3frt,RECV_EPR_START,3hx4u3frt,8.210401,,,,
h8wtcfq3u,RECV_ENTER,h8wtcfq3u,8.211692,,,,
h8wtcfq3u,RECV_EPR_START,h8wtcfq3u,8.211689,,,,
3hx4u3frt,ReceiveEPR,3hx4u3frt,,0.001784,8.212185,,8.210401
3hx4u3frt,RECV_EPR_START_BEFORE_CALCS,3hx4u3frt,8.212425,,,,
3hx4u3frt,RECV_BEFORE_MONITOR,3hx4u3frt,8.212492,,,,
3hx4u3frt,RECV_BEFORE_UPDATE,3hx4u3frt,8.21288,,,,
3hx4u3frt,RECV_BEFORE_NOTIFY,3hx4u3frt,8.212966,,,,
3hx4u3frt,EPR_TOTAL,3hx4u3frt,8.212987,,,,
h8wtcfq3u,ReceiveEPR,h8wtcfq3u,,0.001549,8.213238,,8.211689
h8wtcfq3u,RECV_EPR_START_BEFORE_CALCS,h8wtcfq3u,8.213321,,,,
h8wtcfq3u,RECV_BEFORE_MONITOR,h8wtcfq3u,8.213351,,,,
h8wtcfq3u,RECV_BEFORE_UPDATE,h8wtcfq3u,8.213951,,,,
h8wtcfq3u,RECV_BEFORE_NOTIFY,h8wtcfq3u,8.214453,,,,
h8wtcfq3u,EPR_TOTAL,h8wtcfq3u,8.214891,,,,
3hx4u3frt,RECV_TOTAL_no_plots,3hx4u3frt,,0.008874000000000493,,8.219275,8.210401
h8wtcfq3u,RECV_TOTAL_no_plots,h8wtcfq3u,,0.007837000000000316,,8.219526,8.211689
h8wtcfq3u,RECV_TOTAL_EPR_FINAL,h8wtcfq3u,,0.009703000000000017,,8.213341,8.203638
h8wtcfq3u,RECV_TOTAL,h8wtcfq3u,,0.008732999999999436,,8.220422,8.211689
3hx4u3frt,RECV_TOTAL_EPR_FINAL,3hx4u3frt,,0.009410000000000807,,8.212479,8.203069
3hx4u3frt,RECV_TOTAL,3hx4u3frt,,0.010950000000001125,,8.221351,8.210401
sgc2bcu92,ORDER_RECEIVE,sgc2bcu92,,,,,155292.233643
ev1df9yvb,ORDER_RECEIVE,ev1df9yvb,,,,,155292.233704
sgc2bcu92,CreateEPR_backend,sgc2bcu92,,0.007686,12.245792,,12.238106
sgc2bcu92,CreateEPR_notify,sgc2bcu92,,0.000103,12.24601,,12.245907
sgc2bcu92,CreateEPR_total,sgc2bcu92,,0.007964,12.246052,,12.238088
sgc2bcu92,SENDING,sgc2bcu92,,,,,155292.246469
sgc2bcu92,ORDER_RECV_STARTING,sgc2bcu92,,,,,155292.246723
sgc2bcu92,ORDER_RECV_EXECUTING_AFTER_FOUND,sgc2bcu92,,,,,155292.246888
ev1df9yvb,CreateEPR_backend,ev1df9yvb,,0.009505,12.247985,,12.23848
ev1df9yvb,CreateEPR_notify,ev1df9yvb,,8.3e-05,12.24818,,12.248097
ev1df9yvb,CreateEPR_total,ev1df9yvb,,0.009749,12.248212,,12.238463
ev1df9yvb,SENDING,ev1df9yvb,,,,,155292.248435
ev1df9yvb,ORDER_RECV_STARTING,ev1df9yvb,,,,,155292.249119
ev1df9yvb,ORDER_RECV_EXECUTING_AFTER_FOUND,ev1df9yvb,,,,,155292.250758
sgc2bcu92,RECV_ENTER,sgc2bcu92,12.251277,,,,
sgc2bcu92,RECV_EPR_START,sgc2bcu92,12.251274,,,,
sgc2bcu92,ReceiveEPR,sgc2bcu92,,0.003054,12.254328,,12.251274
sgc2bcu92,RECV_EPR_START_BEFORE_CALCS,sgc2bcu92,12.254455,,,,
sgc2bcu92,RECV_BEFORE_MONITOR,sgc2bcu92,12.254499,,,,
ev1df9yvb,RECV_ENTER,ev1df9yvb,12.255704,,,,
ev1df9yvb,RECV_EPR_START,ev1df9yvb,12.255702,,,,
sgc2bcu92,RECV_BEFORE_UPDATE,sgc2bcu92,12.255906,,,,
sgc2bcu92,RECV_BEFORE_NOTIFY,sgc2bcu92,12.256442,,,,
sgc2bcu92,EPR_TOTAL,sgc2bcu92,12.256687,,,,
ev1df9yvb,ReceiveEPR,ev1df9yvb,,0.002229,12.257931,,12.255702
