event,id,t,t_diff,t_end,t_end_recv,t_start
CreateEPR_backend,t3y5xt2k9,,0.016756,42:04.950554,,42:04.933798
CreateEPR_notify,t3y5xt2k9,,0.000848,42:04.951676,,42:04.950828
CreateEPR_total,t3y5xt2k9,,0.018068,42:04.951789,,42:04.933721
CreateEPR_backend,hb5fvx8vr,,0.007639,42:05.018723,,42:05.011084
CreateEPR_notify,hb5fvx8vr,,0.000921,42:05.019817,,42:05.018896
CreateEPR_total,hb5fvx8vr,,0.008903,42:05.019946,,42:05.011043
ORDER_RECV_EXECUTING,hb5fvx8vr,,,,,42:05.021205
ORDER_RECV_EXECUTING,t3y5xt2k9,,,,,42:05.421176
RECV_ENTER,hb5fvx8vr,42:05.956184,,,,
RECV_EPR_START,hb5fvx8vr,,,,,42:05.956164
ReceiveEPR,hb5fvx8vr,,0.001575,42:05.957739,,42:05.956164
RECV_BEFORE_MONITOR,hb5fvx8vr,42:05.957852,,,,
RECV_BEFORE_UPDATE,hb5fvx8vr,42:05.958118,,,,
RECV_BEFORE_NOTIFY,hb5fvx8vr,42:05.958396,,,,
SOCKET_ACCEPT,NONE,42:05.961673,,,,
SOCKET_HANDLER_START,NONE,42:05.962023,,,,
SOCKET_RECV_DONE,NONE,42:05.962104,,,,
RECV_TOTAL_no_plots,hb5fvx8vr,,0.011551999999937834,,42:05.967716,42:05.956164
RECV_TOTAL,hb5fvx8vr,,0.2541409999998905,,42:06.210305,42:05.956164
SOCKET_ACCEPT,NONE,42:06.219522,,,,
SOCKET_HANDLER_START,NONE,42:06.219944,,,,
SOCKET_ACCEPT,NONE,42:06.220089,,,,
SOCKET_HANDLER_START,NONE,42:06.220410,,,,
SOCKET_RECV_DONE,NONE,42:06.220513,,,,
SOCKET_RECV_DONE,NONE,42:06.220589,,,,
SOCKET_BEFORE_RECV_EPR,t3y5xt2k9,42:06.224653,,,,
RECV_ENTER,t3y5xt2k9,42:06.224750,,,,
RECV_EPR_START,t3y5xt2k9,,,,,42:06.224744
ReceiveEPR,t3y5xt2k9,,0.001331,42:06.226075,,42:06.224744
RECV_BEFORE_MONITOR,t3y5xt2k9,42:06.226179,,,,
RECV_BEFORE_UPDATE,t3y5xt2k9,42:06.226398,,,,
RECV_BEFORE_NOTIFY,t3y5xt2k9,42:06.226769,,,,
SOCKET_ACCEPT,NONE,42:06.227657,,,,
SOCKET_HANDLER_START,NONE,42:06.228025,,,,
SOCKET_RECV_DONE,NONE,42:06.228226,,,,
RECV_TOTAL_no_plots,t3y5xt2k9,,0.00783499999988635,,42:06.232579,42:06.224744
RECV_TOTAL,t3y5xt2k9,,0.18989000000010492,,42:06.414634,42:06.224744
SOCKET_AFTER_RECV_EPR,t3y5xt2k9,42:06.414751,,,,
SOCKET_AFTER_SEND_RECV_EPR,t3y5xt2k9,42:06.414869,,,,
SOCKET_ACCEPT,NONE,42:17.097834,,,,
SOCKET_ACCEPT,NONE,42:17.098556,,,,
SOCKET_HANDLER_START,NONE,42:17.098385,,,,
SOCKET_RECV_DONE,NONE,42:17.099380,,,,
SOCKET_HANDLER_START,NONE,42:17.099205,,,,
SOCKET_RECV_DONE,NONE,42:17.099742,,,,
SOCKET_ACCEPT,NONE,42:17.105090,,,,
SOCKET_HANDLER_START,NONE,42:17.105550,,,,
SOCKET_ACCEPT,NONE,42:17.105734,,,,
SOCKET_RECV_DONE,NONE,42:17.106365,,,,
SOCKET_HANDLER_START,NONE,42:17.106567,,,,
SOCKET_RECV_DONE,NONE,42:17.106823,,,,
CreateEPR_backend,1h31r3lg4,,0.011142,42:17.115723,,42:17.104581
CreateEPR_notify,1h31r3lg4,,0.000221,42:17.116245,,42:17.116024
CreateEPR_total,1h31r3lg4,,0.011898,42:17.116353,,42:17.104455
ORDER_RECV_EXECUTING,1h31r3lg4,,,,,42:17.116908
SOCKET_ACCEPT,NONE,42:17.117891,,,,
SOCKET_HANDLER_START,NONE,42:17.118324,,,,
SOCKET_ACCEPT,NONE,42:17.118574,,,,
SOCKET_RECV_DONE,NONE,42:17.121311,,,,
SOCKET_HANDLER_START,NONE,42:17.118915,,,,
SOCKET_RECV_DONE,NONE,42:17.121917,,,,
SOCKET_BEFORE_RECV_EPR,1h31r3lg4,42:17.128165,,,,
RECV_ENTER,1h31r3lg4,42:17.128407,,,,
RECV_EPR_START,1h31r3lg4,,,,,42:17.128362
CreateEPR_backend,gjw6lf9ly,,0.017309,42:17.129312,,42:17.112003
CreateEPR_notify,gjw6lf9ly,,0.000220,42:17.129729,,42:17.129509
CreateEPR_total,gjw6lf9ly,,0.017912,42:17.129832,,42:17.111920
ReceiveEPR,1h31r3lg4,,0.003277,42:17.131639,,42:17.128362
RECV_BEFORE_MONITOR,1h31r3lg4,42:17.131864,,,,
RECV_BEFORE_UPDATE,1h31r3lg4,42:17.132368,,,,
RECV_BEFORE_NOTIFY,1h31r3lg4,42:17.132823,,,,
SOCKET_ACCEPT,NONE,42:17.133687,,,,
SOCKET_HANDLER_START,NONE,42:17.134071,,,,
SOCKET_RECV_DONE,NONE,42:17.134240,,,,
RECV_TOTAL_no_plots,1h31r3lg4,,0.01159700000016528,,42:17.139959,42:17.128362
RECV_TOTAL,1h31r3lg4,,0.24611400000003414,,42:17.374476,42:17.128362
SOCKET_AFTER_RECV_EPR,1h31r3lg4,42:17.374625,,,,
SOCKET_AFTER_SEND_RECV_EPR,1h31r3lg4,42:17.374803,,,,
ORDER_RECV_EXECUTING,gjw6lf9ly,,,,,42:18.430568
SOCKET_ACCEPT,NONE,42:18.431125,,,,
SOCKET_ACCEPT,NONE,42:18.431655,,,,
SOCKET_HANDLER_START,NONE,42:18.432101,,,,
SOCKET_HANDLER_START,NONE,42:18.431514,,,,
SOCKET_RECV_DONE,NONE,42:18.432374,,,,
SOCKET_RECV_DONE,NONE,42:18.432598,,,,
SOCKET_BEFORE_RECV_EPR,gjw6lf9ly,42:18.437628,,,,
RECV_ENTER,gjw6lf9ly,42:18.437769,,,,
RECV_EPR_START,gjw6lf9ly,,,,,42:18.437760
ReceiveEPR,gjw6lf9ly,,0.002890,42:18.440650,,42:18.437760
RECV_BEFORE_MONITOR,gjw6lf9ly,42:18.440817,,,,
RECV_BEFORE_UPDATE,gjw6lf9ly,42:18.441179,,,,
RECV_BEFORE_NOTIFY,gjw6lf9ly,42:18.441268,,,,
SOCKET_ACCEPT,NONE,42:18.441821,,,,
SOCKET_HANDLER_START,NONE,42:18.442286,,,,
SOCKET_RECV_DONE,NONE,42:18.442372,,,,
RECV_TOTAL_no_plots,gjw6lf9ly,,0.009835000000293803,,42:18.447595,42:18.437760
RECV_TOTAL,gjw6lf9ly,,0.2872010000000955,,42:18.724961,42:18.437760
SOCKET_AFTER_RECV_EPR,gjw6lf9ly,42:18.725352,,,,
