ID,event,id,t,t_diff,t_end,t_end_recv,t_start
soodi64ke,RECV_EPR_START,soodi64ke,51:47.239477,,,,
7iz5uzoe9,ReceiveEPR,7iz5uzoe9,,0.003233,51:47.242911,,51:47.239678
7iz5uzoe9,RECV_EPR_START_BEFORE_CALCS,7iz5uzoe9,51:47.243858,,,,
7iz5uzoe9,RECV_BEFORE_MONITOR,7iz5uzoe9,51:47.244353,,,,
soodi64ke,ReceiveEPR,soodi64ke,,0.005909,51:47.245386,,51:47.239477
soodi64ke,RECV_EPR_START_BEFORE_CALCS,soodi64ke,51:47.246142,,,,
7iz5uzoe9,RECV_BEFORE_UPDATE,7iz5uzoe9,51:47.244862,,,,
soodi64ke,RECV_BEFORE_MONITOR,soodi64ke,51:47.246626,,,,
7iz5uzoe9,RECV_BEFORE_NOTIFY,7iz5uzoe9,51:47.246996,,,,
soodi64ke,RECV_BEFORE_UPDATE,soodi64ke,51:47.247655,,,,
7iz5uzoe9,EPR_TOTAL,7iz5uzoe9,51:47.247243,,,,
soodi64ke,RECV_BEFORE_NOTIFY,soodi64ke,51:47.248064,,,,
soodi64ke,EPR_TOTAL,soodi64ke,51:47.248247,,,,
7iz5uzoe9,RECV_TOTAL_no_plots,7iz5uzoe9,,0.024276999999983673,,51:47.263955,51:47.239678
soodi64ke,RECV_TOTAL_no_plots,soodi64ke,,0.024241999999958352,,51:47.263719,51:47.239477
soodi64ke,RECV_TOTAL_EPR_FINAL,soodi64ke,,0.030437999999776366,,51:47.246566,51:47.216128
7iz5uzoe9,RECV_TOTAL_EPR_FINAL,7iz5uzoe9,,0.032475999999860505,,51:47.244264,51:47.211788
